0,1,2,3,4,5,6,7,8,9,10,11,12
"Table 1  Age class, sex, breed, lifestyle and clinical status of cats studied according to their geographical distribution",,,,,,,,,,,,
Provenience,Age class,,,Sex,,Breed,,Categorya,,,Clinical status,
(N; %),,,,,,,,,,,,
,Young,Adult,Old,Male,Female,DSH,Pure breed,Indoor,Outdoor,Stray,Apparently healthy,Sick
,n (%),n (%),n (%),n (%),n (%),n (%),n (%),n (%),n (%),n (%),n (%),n (%)
Sicily,,,,,,,,,,,,
"Messina City (N 
 24; 36)",6 (25),18 (75),0 (0),9 (38),15 (62),24 (100),3 (12),3 (12),5 (21),16 (67),11 (46),13 (54)
=,,,,,,,,,,,,
"Aeolian Islands (N 
 42; 64)",9 (21),26 (62),7 (17),19 (45),23 (55),41 (98),1 (2),1 (2),40 (96),1 (2),19 (45),23 (55)
=,,,,,,,,,,,,
"Total (N 
 66; 37)",15 (23),44 (67),7 (10),28 (42),38 (58),65 (99),1 (1),4 (6),45 (68),17 (26),30 (46),36 (54)
=,,,,,,,,,,,,
Catalonia,,,,,,,,,,,,
"Vilassar de Mar (N 
 22;19)",11 (50),7 (32),4 (18),13 (59),9 (41),17 (77),5 (23),7 (32),11 (50),4 (18),17 (77),5 (23)
=,,,,,,,,,,,,
"Cambrils (N 
 45; 40)",3 (7),40 (89),2 (4),18 (40),27 (60),42 (93),3 (7),0 (0),0 (0),45 (100),40 (89),5 (11)
=,,,,,,,,,,,,
"Bellaterra (N 
 46; 41)",6 (13),39 (85),1 (2),25 (54),21 (46),44 (96),2 (4),0 (0),15 (33),31 (67),32 (70),14 (30)
=,,,,,,,,,,,,
"Total (N 
 113; 63)",20 (18),86 (76),7 (6),56 (49),57 (51),103 (91),10 (9),7 (6),26 (23),80 (71),89 (79),24 (21)
=,,,,,,,,,,,,
"All cats (N 
 179; 100)",35 (19),130 (73),14 (8),84 (47),95 (53),168 (94),11 (6),11 (6),71 (40),97 (54),119 (66),60 (34)
=,,,,,,,,,,,,
a,Indoor and outdoor columns concern the lifestyle of pet cats,,,,,,,,,,,
