0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
,Table 3: Number of declared syndromes by sentinel site and year,,,,,,,,,,,,,,,,,,,,
,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,
Sentinel site,Opening,ILI,DLS,Malr,Diarr,ILI,DLS,Malr,Diarr,ILI,DLS,Malr,Diarr,ILI,DLS,Malr,Diarr,ILI,DLS,Malr,Diarr
,date,,,,,,,,,,,,,,,,,,,,
Ambatondrazaka,2009-05-11,--,--,--,--,--,--,--,--,129,19,7,337,39,4,7,160,122,1,7,234
Ambato Boeny,2010-09-01,--,--,--,--,--,--,--,--,--,--,--,--,195,1,156,156,828,18,197,491
Ambovombe,2009-06-02,--,--,--,--,--,--,--,--,4,0,7,61,3,2,16,114,6,0,9,137
Ambositra,2011-08-25,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,68,12,8,118
AntananarivoBHK,2009-01-26,--,--,--,--,--,--,--,--,381,0,6,1365,160,9,4,1093,193,4,9,826
Antananarivo CDA,2009-04-01,--,--,--,--,--,--,--,--,34,0,3,298,68,7,3,393,67,6,2,216
Antananarivo MJR,2009-02-02,--,--,--,--,--,--,--,--,289,2,2,255,185,4,5,188,239,2,11,175
Antananarivo TSL,2009-02-09,--,--,--,--,--,--,--,--,125,0,2,396,41,0,0,569,29,0,2,513
Antsirabe,2008-09-08,--,--,--,--,150,22,8,288,860,12,7,539,311,1,2,535,765,1,7,467
Antsiranana,2007-04-19,236,678,10,--,121,201,3,274,471,180,30,1136,394,210,54,1050,130,115,28,985
Antsohihy,2007-05-02,6,22,10,--,0,0,14,1,1,1,40,4,4,9,215,128,64,31,34,179
Anjozorobe,2010-07-29,--,--,--,--,--,--,--,--,--,--,,--,36,4,4,24,141,0,4,53
Belo sur Tsiribina,2010-10-11,--,--,--,--,--,--,--,--,--,--,,--,52,33,68,82,159,97,63,483
Ejeda,2007-12-10,0,0,0,--,5,3,7,43,0,4,3,36,0,0,7,39,0,0,30,56
Farafangana,2007-06-07,285,33,23,--,424,45,83,169,289,27,174,322,379,230,59,375,485,37,661,414
Fianarantsoa,2008-08-04,--,--,--,--,13,0,0,113,37,0,12,212,24,2,1,193,70,0,14,178
Ihosy,2007-12-10,0,12,7,--,11,90,63,253,30,63,47,219,72,8,37,131,303,10,33,189
Maevatanana,2007-04-23,127,152,628,--,76,60,644,620,472,146,1158,805,269,126,1681,1301,96,11,631,1173
Mahajanga,2007-04-23,25,142,50,--,11,56,13,505,98,37,30,285,163,23,56,324,381,41,20,293
Maintirano,2010-07-19,--,--,--,--,--,--,--,--,--,--,--,--,97,0,128,106,346,0,109,248
Mananjara,2010-02-18,--,--,--,--,--,--,--,--,--,--,--,--,143,441,6,888,0,115,67,782
Mandritsara,2011-09-26,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,90,0,20,212
Maroantsetra,2010-09-02,--,--,--,--,--,--,--,--,--,--,--,--,96,20,18,93,363,2,30,468
Miandrivazo,2010-05-07,--,--,--,--,--,--,--,--,--,--,--,--,266,0,265,142,263,0,39,218
Moramanga,2007-04-12,222,12,59,--,2196,9,77,557,2964,63,66,881,203,30,30,667,573,42,55,628
Morombe,2011-09-12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,61,0,21,48
Morondava,2007-04-10,153,82,139,--,176,15,39,284,117,27,16,575,25,1,62,545,23,0,27,497
Nosy Be,2009-06-02,--,--,--,--,--,--,--,--,18,205,99,501,783,321,306,991,983,147,135,902
Sainte Marie,2010-03-04,--,--,--,--,--,--,--,--,--,--,--,--,32,10,25,5,30,5,25,60
Sambava,2009-01-21,--,--,--,--,--,--,--,--,331,16,120,487,306,52,220,272,464,20,44,218
Taolagnara,2007-04-24,29,15,8,--,34,32,9,249,93,6,29,331,54,1,90,168,57,2,49,105
Toamasina,2007-04-16,53,583,64,--,123,847,315,267,272,1683,782,352,194,1072,468,237,111,260,734,160
Tsiroanamandidy,2007-04-30,250,15,150,,200,12,112,276,299,99,94,583,249,109,104,693,570,51,42,545
Tulear,2007-04-30,34,43,13,,17,74,1,395,23,62,3,731,105,80,7,734,266,25,3,838
Total,,"1,418","1,789","1,161",--,"1,420","1,466","1,388","4,294","5,503","2,652","2,736","10,711","4,948","2,810","4,104","12,396","8,346","1,055","3,171","13,109"
,,,"ILI= number of influenza-like illness cases, DLS=number of dengue-like syndromes, Malaria=number of confirmed malaria confirmed cases, Diarr=number of diarrhoea cases declared by SMS",,,,,,,,,,,,,,,,,,
