0,1,2,3,4,5
,PATIENTS IN MASS,,PATIENTS IN ASSAy GROUP,,
,SPECTROMETRy GROUP,,,,
,UTC (n = 5),UTI (n = 5),No growth (n = 10),UTC (n = 15),UTI (n = 15)
Mean age (years),9.5 (7.5),7.1 (7.3),11.8 (7.4),9.5 (5.4),10.5 (6.6)
Male,3 (60),1 (20),9 (90),6 (40) *,8 (53)
White,4 (80),5 (100),9 (90),12 (80),12 (80)
Myelomeningocele,2 (40),3 (60),4 (40),6 (40),5 (33)
Anorectal malformation,2 (40),1 (20),2 (20),4 (27),4 (27)
Tethered cord,0 (0),0 (0),1 (10),2 (13),1 (7)
Mitrofanoff,1 (20),1 (20),2 (20),5 (33),5 (33)
Bladder augmentation,0 (0),1 (20),0 (0),2 (13),1 (7)
