0,1,2,3,4,5,6,7,8,9,10,11,12,13
,"Table 2.  Frequency of respiratory viruses in relation to sex, age, hospital admission and the type of specimen collected",,,,,,,,,,,,
,WUV,KIV,Boca,hMPV,AdV,Flu A,RSV,PIV-1,PIV-3,HRV,,HCoV-OC43 HCoV-229E Total,
Male,6 (2.1),3 (1.1),8 (2.8),8 (2.8),13 (4.6),28 (9.8),25 (8.8),3 (1.1),6 (2.1),69 (24.2),13 (4.6),8 (2.8),190 (66.7)1
Female,4 (1.4),1 (0.4),6 (2.1),7 (2.5),9 (3.2),19 (6.6),17 (6),3 (1.1),4 (1.4),53 (18.6),12 (4.2),6 (2.1),141 (49.5)1
Age,,,,,,,,,,,,,
<2 years,2 (0.7),3 (1.1) 11 (3.9),,7 (2.5),10 (3.5),13 (4.6),36 (12.6),2 (0.7),5 (1.8),64 (22.5),11 (3.9),3 (1.5),167 (58.6)1
2 – 5 years,2 (0.7),–,2 (0.7),1 (0.4),3 (1.1),10 (3.5),–,1 (0.4),–,12 (4.2),2 (0.7),2 (0.7),35 (12.3)1
6 – 10 years,2 (0.7),–,–,1 (0.4),4 (1.4),1 (0.4),2 (0.7),–,–,13 (4.6),5 (1.8),–,28 (9.8)1
11 – 30 years,2 (0.7),–,–,4 (1.4),2 (0.7),3 (1.1),1 (0.4),–,–,6 (2.1),–,3 (1.1),21 (7.4)1
>30 years,2 (0.7),1 (0.4),1 (0.4),2 (0.7),3 (1.1),20 (7.0),3 (1.1),3 (1.1),5 (1.8),27 (9.5),7 (2.5),6 (2.1),80 (28.1)1
Ward,6 (2.1),4 (1.4),7 (2.5),10 (0.8),12 (4.2),35 (12.3) 17 (6.0),,3 (1.1),5 (1.8),68 (23.9),17 (6.0),11 (3.9),195 (68.4)1
ICU,1 (0.4),–,1 (0.4),1 (0.3),2 (0.7),6 (2.1),2 (0.7),2 (0.7),2 (0.7),11 (3.9),4 (1.4),3 (1.1),35 (12.3)1
PICU,3 (1.1),–,6 (2.1),4 (1.4),8 (2.8),6 (2.1),23 (8.1),1 (0.4),3 (1.1),43 (15.1),4 (1.4),–,101 (35.4)1
NPS,3 (30),2 (50),4 (28.6),4 (26.7),7 (2.5),10 (3.5),11 (3.9),3 (1.1),3 (1.1),43 (15.1),5 (1.8),4 (1.4),104 (30.1)2
NPA,4 (40),1 (25),6 (42.8),5 (33.3),8 (2.8),15 (5.3),9 (3.2),1 (0.4),4 (1.4),33 (11.6),5 (1.8),3 (1.1),99 (28.7)2
BAL,2 (20),–,2 (14.3),4 (26.7),5 (1.8),15 (5.3),14 (4.9),1 (0.4),2 (0.7),27 (9.5),10 (3.5),4 (1.4),87 (25.2)2
TA,1 (10),1 (25),2 (14.3),2 (13.3),2 (0.7),7 (2.5),8 (2.8),1 (0.4),1 (0.4),19 (6.7),5 (1.8),3 (1.1),55 (15.9)2
