0,1,2,3,4,5,6
Table 5. Distribution of identified bacteria by specimen type,,,,,,
,,Endotracheal,Bronchoalveolar lavage,,,
,Sputum,,,Blood culture,Blood (EIA),Urine antigen
,,aspirate,or bronchial washing,,,
Acinetobacter spp.,7 (10.3),7 (38.9),4 (25.0),1 (25.0),0,0
"S
treptococcus pneumoniae",3 (4.4),0,0,2 (50.0),0,5 (100)
Enterobacter spp.,1 (1.5),1 (5.6),0,0,0,0
"K
l
ebsiella spp.",16 (23.5),1 (5.6),2 (12.5),0,0,0
Escherichia coli,5 (7.4),0,1 (6.3),1 (25.0),0,0
Pseudomonas spp.,12 (17.6),3 (16.7),2 (12.5),0,0,0
Staphylococcus aureus,18 (26.5),5 (27.8),1 (6.3),0,0,0
Mycoplasma,0,0,0,0,133 (95.0),0
Chlamydia,0,0,0,0,7 (5.0),0
Others,6 (9),1 (5.6),6 (37.5),0,0,0
Total,68 (100),18 (100),16 (100),4 (100),140 (100),5 (100)
