0,1,2,3,4,5,6
Countries/regions,OM,Agea,Size,,Bacteriab,Ref.
,,,,Hi,Spn,Mcat
Thailand (2008–2009),AOM,3m—5y,107,17.8%,24.3%,"6.5%
[50]"
Turkey (1998–2000),AOM,6m—10y,78,14.1%,23.1%,"5.1%
[51]"
Turkey (2002–2004),AOM,6m—12y,180,13.3%,25.6%,"10.0%
[52]"
Turkey (2003–2004),AOM,6m—12y,120,13.3%,23.3%,"8.3%
[53]"
Average,,,,22.2%,26.4%,5.4%
Max,,,,54.6%,49.9%,10.0%
Min,,,,5.0%,9.9%,1.2%
Africa,,,,,,
South Africa (1999),AOM,2m—7y,173,5.2%,20.20%,"1.20%
[54]"
Average (all regions),,,,23.1%,27.8%,7.0%
Max (all regions),,,,54.6%,49.9%,27.8%
Min (all regions),,,,5.0%,9.9%,0.5%
