0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
,,,Table 8. Frequency of viruses affecting birds according to the age of birds.,,,,,,,,,,,,,,,,,,,
Chicken Lines,Age of Birds,,FAdV-I,,,ChPV,,,CAstV,,,ANV,,,IBV,,,AReo,,,ARtV,
,1–10 weeks,,,,,,,,,,,,,,,,,,,,,
,11–20 weeks,,,,,,,,,,,,,,,,,,,,,
,21–30 weeks,,,,,,,,,,,,,,,,,,,,,
Layers,31–40 weeks,,,0,,,0,,,0,,,0,,,49,,,0,,,0
,41–50 weeks,,,,,,,,,,,,,,,,,,,,,
,>51 weeks,,,,,,,,,,,,,,,,,,,,,
,N/R,,,,,,,,,,,,,,,,,,,,,
,1–10 weeks,,,,,,,,,,,,,,,,,,,,,
,11–20 weeks,,,,,,,,,,,,,,,,,,,,,
,21–30 weeks,,,,,,,,,,,,,,,,,,,,,
Breeders,31–40 weeks,,,12,,,0,,,10,,,0,,,16,,,0,,,2
,41–50 weeks,,,,,,,,,,,,,,,,,,,,,
,>51 weeks,,,,,,,,,,,,,,,,,,,,,
,N/R,,,,,,,,,,,,,,,,,,,,,
,1–7 days,,,,,,,,,,,,,,,,,,,,,
,8–14 days,,,,,,,,,,,,,,,,,,,,,
,15–21 days,,,,,,,,,,,,,,,,,,,,,
,22–28 days,,,,,,,,,,,,,,,,,,,,,
Broilers,,,,14,,,20,,,17,,,41,,,116,,,0,,,15
,29–35 days,,,,,,,,,,,,,,,,,,,,,
,36–42 days,,,,,,,,,,,,,,,,,,,,,
,>43 days,,,,,,,,,,,,,,,,,,,,,
,N/R,,,,,,,,,,,,,,,,,,,,,
,Not reported neither age nor line,2,,,2,,,0,,,1,,,15,,,1,,,0,,
