0,1,2,3,4,5,6,7,8,9,10,11
,,,Virus Examined in 270 Digestive Organs,,,,,,,,
Patterns,,,,,,,,,,,Number of Samples in Each Pattern (%)
,,FAdV-I ChPV,,CAstV ANV,IBV,,AReo,,ARtV,,
1,+,-,-,-,-,-,,-,,22,8.1%
2,+,-,-,+,-,-,,-,,1,0.4%
3,+,-,-,-,+,-,,-,,2,0.7%
4,+,+,-,-,+,-,,-,,2,0.7%
5,+,-,-,+,+,-,,-,,1,0.4%
6,-,-,-,+,-,-,,-,,19,7%
7,-,-,-,+,+,-,,-,,3,1.1%
8,-,-,+,+,-,-,,-,,1,0.4%
9,-,-,-,+,-,-,,+,,1,0.4%
10,-,+,-,+,+,-,,-,,7,2.6%
11,-,-,-,+,+,-,,+,,3,1.1%
12,-,+,-,+,-,-,,+,,1,0.4%
13,-,-,+,+,+,-,,+,,2,0.7%
14,-,+,+,+,-,-,,+,,1,0.4%
15,-,+,-,+,+,-,,+,,1,0.4%
16,-,+,+,+,+,-,,+,,1,0.4%
17,-,-,+,-,-,-,,-,,15,5.6%
18,-,-,+,-,+,-,,-,,6,2.2%
19,-,-,+,-,+,-,,+,,1,0.4%
20,-,-,-,-,+,-,,-,,164,60.7%
21,-,+,-,-,+,-,,-,,1,0.4%
22,-,-,-,-,+,-,,+,,2,0.7%
23,-,+,-,-,-,-,,-,,8,3%
24,-,-,-,-,-,-,,+,,4,1.5%
25,-,-,-,-,-,+,,-,,1,0.4%
