0,1,2,3,4,5,6
Table 6. Odds ratios for stage 3 AKI.,,,,,,
,,Univariate,,,Multivariate,
,,Non-stage 3 AKI,Stage 3 AKI,p,OR (95% CI),p
,,(n = 185),(n = 137),,,
Age (years),,60.0 ± 14.5,60.7 ± 16.4,0.69,1.007 (0.99–1.025),0.42
"Male sex (vs.
female)",,123/185 (66.5),90/137 (65.7),0.88,0.985 (0.585–,0.95
,,,,,1.657),
Center 2,,95/185 (51.4),79/137 (57.7),0.26,-,-
Causes of admission,,,,0.35,-,-
,CV disease,119/185 (64.3),84/137 (61.3),0.58,-,-
,Lung disease,23/185 (12.4),26/137 (19),0.11,-,-
,Malignancy,20/185 (10.8),15/137 (10.9),0.97,-,-
,Others,23/185 (12.4),12/137 (8.8),0.30,-,-
ECMO VA mode,,136/185 (73.5),94/137 (68.6),0.34,-,-
IABP use,,70/185 (37.8),36/137 (26.3),0.03,0.983 (0.559–,0.95
,,,,,1.729),
LOS before ECMO insertion,,6.5 ± 12.9,11.6 ± 22.9,0.02,1.003 (0.988–,0.72
(days),,,,,1.018),
Initial ECMO Setting,,,,,,
,Pump speed (103 rpm) a,2.2 ± 0.6,2.3 ± 0.7,0.03,1.576 (1.058–,0.03
,,,,,2.348),
,Blood ﬂow rate (L/min),3.0 ± 0.9,3.2 ± 1.0,0.14,-,-
,Blood ﬂow rate in VA (L/,3.1 ± 0.9,3.2 ± 1.1,0.39,,
,min),,,,,
,Blood ﬂow rate in VV (L/,2.9 ± 0.8,3.2 ± 0.8,0.11,,
,min),,,,,
ECMO duration (days),,6.4 ± 7.0,11.7 ± 11.5,<0.001,1.058 (1.019–,0.003
,,,,,1.098),
Initial urine output (L/day),,4.6 ± 3.7,3.9 ± 2.8,0.08,-,-
Initial ventilator settings,,,,,,
,PEEP (cmH2O) a,5.5 ± 2.4,6.2 ± 2.6,0.04,1.018 (0.914–,0.75
,,,,,1.134),
,PIP (cmH2O) a,17.0 ± 6.1,17.5 ± 5.7,0.47,-,-
"Initial
laboratory ﬁndings",,,,,,
,BUN (mmol/L),17.5 ± 10.9,20.3 ± 12.5,0.04,1.006 (0.983–,0.60
,,,,,1.029),
,Creatinine (μmol/L),108.5 ± 48.6,116.8 ± 54.2,0.15,-,-
,Total bilirubin (μmol/L) a,26.9 ± 27.1,34.9 ± 32.6,0.02,1.008 (0.999–,0.08
,,,,,1.018),
,Albumin (g/L) a,28.0 ± 6.5,26.6 ± 6.1,0.047,0.97 (0.932–1.01),0.14
,WBC (103/ μL),13.9 ± 7.0,13.6 ± 8.5,0.71,-,-
,Hemoglobin (g/dL),11.1 ± 2.4,10.7 ± 2.2,0.14,-,-
,Platelet (103/ μL),147.8 ± 81.9,139.8 ± 86.5,0.40,-,-
,RDW (%),14.1 ± 1.2,15.1 ± 2.1,<0.001,1.308 (1.053–,0.02
,,,,,1.625),
,Sodium (mmol/L),140.9 ± 7.0,142.1 ± 7.3,0.15,-,-
,Potassium (mmol/L),3.9 ± 0.7,3.9 ± 0.8,0.54,-,-
,Chloride (mmol/L),106.0 ± 7.5,105.9 ± 7.0,0.91,-,-
,CRP (nmol/L) a,63.3 ± 74.5,74.6 ± 87.0,0.23,-,-
,,,,,,(Continued)
