0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Table 1.,General characteristics of animal exposures in the cohort members.,,,,,,,,,,,,,,,
,,Province,,,Occupation,,,,Sex,,,,Age group,,,
,All,Dong,Dak,P value,Farmer,Animal,Slaughterer,P value,Female,Male,P value,(cid:2) 15,16–44,45–59,(cid:3) 60,P value
,,Thap,Lak,,,health,,,,,,,,,,
,,,,,,worker,,,,,,,,,,
Study population,581,282,299,,415,61,100,,259,322,,59,308,168,46,
Number intervieweda,297,135,162,0.128,131,61,100,< 0.001,93,204,< 0.001,0,163,114,20,0.003
Raising live animals at,237 (80),127 (94),110 (68),< 0.001,131 (100),39 (64),63 (63),< 0.001,71 (76),166 (81),0.317,0,123 (75),96 (84),18 (90),0.342
households or on farms,,,,,,,,,,,,,,,,
Exotic animals,68 (23),7 (5),61 (38),< 0.001,62 (47),2 (3),4 (4),< 0.001,23 (25),45 (22),0.611,0,23 (14),33 (29),10 (50),< 0.001
Domestic animals,236 (79),110 (81),126 (78),0.431,130 (99),39 (64),63 (63),< 0.001,71 (76),165 (81),0.369,0,123 (75),95 (83),18 (90),0.447
Bleeding injuries,174 (59),70 (52),104 (64),0.031,50 (38),35 (57),85 (85),< 0.001,51 (55),123 (60),0.376,0,106 (65),62 (54),6 (30),0.018
while working,,,,,,,,,,,,,,,,
with animals,,,,,,,,,,,,,,,,
Slaughtering/cooking,208 (70),58 (43),150 (93),< 0.001,90 (69),42 (69),71 (71),1,66 (71),142 (70),0.812,0,117 (72),79 (69),12 (60),1
and consuming,,,,,,,,,,,,,,,,
exotic animals,,,,,,,,,,,,,,,,
Slaughtering/cooking,65 (22),22 (16),43 (27),0.033,40 (31),10 (16),11 (11),0.003,16 (17),49 (24),0.188,0,36 (22),23 (20),6 (30),1
Consuming,207 (70),57 (42),150 (93),< 0.001,90 (69),42 (69),70 (70),1,67 (72),140 (69),0.553,0,115 (71),79 (69),12 (60),1
Consumed raw blood,139 (47),56 (41),83 (51),0.093,64 (49),31 (51),39 (39),0.678,22 (24),117 (57),< 0.001,0,87 (53),41 (36),11 (55),0.039
or meat,,,,,,,,,,,,,,,,
Raw blood,73 (25),7 (5),66 (41),< 0.001,32 (24),16 (26),25 (25),1,8 (9),65 (32),< 0.001,0,44 (27),24 (21),5 (25),1
Raw meat,110 (37),53 (39),57 (35),0.469,51 (39),23 (38),31 (31),1,16 (17),94 (46),< 0.001,0,69 (42),31 (27),10 (50),0.051
