0,1,2,3,4,5,6,7,8,9,10,11,12
,Table 1. Detected LRI-clusters and signals between 1999 Feb 1st and 2006 Sept 30th by weekly analysis (recurrence interval $1 or,,,,,,,,,,,
$5 years),for different parameter settings.,,,,,,,,,,,
,,(A) Non restrictive settings for time,,,,,,,,,,
,,and spatial windows,,,,(B) Maximum 7 weeks time window,,,,(C) Maximum radius 25 km,,
,,LRI-cluster-signals,,LRI-clusters*,,LRI-cluster-signals,,LRI-clusters*,,LRI-cluster-signals,,LRI-clusters*
(Likely) cause,,,,,,,,,,,,
,Recurrence,,Recurrence,,Recurrence,,,Recurrence,Recurrence,,,Recurrence
,interval,,interval,,interval,,interval,,interval,,interval,
,$1 yr.,$5 yr.,$1 yr.,$5 yr.,$1 yr.,$5 yr.,$1 yr.,$5 yr.,$1 yr.,$5 yr.,$1 yr.,$5 yr.
Legionnaires’ disease outbreak 1999,10,10,1,1,7,7,1,1,10,10,1,1
Legionnaires’ disease outbreak 2006,4,4,1,1,4,4,1,1,4,4,1,1
Local RSV activity,99,78,9,7,62,55,7,7,68,56,8,6
"Local
influenza activity",55,28,8,5,25,13,7,5,40,17,9,4
Local RSV and influenza activity,n/a,n/a,4,3,n/a,n/a,4,3,n/a,n/a,3,2
Other specific pathogen**,7,6,1,1,5,5,1,1,7,6,1,1
No cause defined***,46,20,11,6,26,12,9,4,36,16,10,5
Total,221,146,35,24,129,96,30,22,165,109,33,20
