0,1,2,3,4,5,6,7,8,9,10,11,12
,Table 1,,,,,,,,,,,
,Basic information of,,included publications.,,,,,,,,,
,,,Study,Prospective/,Inclusion,Numbers of patients/,,,Risk,Treatment,,Level of
,Author,Year,types,retrospective,interval,patients received ESWT,M/F,Age,factors,technique,Follow-up,evidence
,Ludwig et al[13],2001,OLT,Prospective,NR,22/22,10/12,54.9 ± 12.3,NR,ESWT,1 year,IV
,Wang et a[14],2005,OLT,Prospective,2001.3–2002.12,23/29,20/3,39.8 ± 12.1,Alcoholism/ cortocosteroids,ESWT,25.2 ± 3.7,IV
,,,,,,,,,and negative,,(24–38) months,
,[15],,,,,,,,,,,
,Lin et al,2006,CR,Retrospective,NR,1/2,0/1,19,SLE,ESWT,2 years,IV
,Wang et al[18],2008,RCT,Prospective,2004.2–2005.3,25/30,20/5,38.6 ± 12.6,Alcoholism/ cortocosteroids,ESWT,26.14 ± 3.11 months,Ib
,,,,,,,,,and negative,,,
,,,,,,23/30,13/10,35.7 ± 4.7,,ESWT+,24.87 ± 3.05 months,
,,,,,,,,,,alendronate,,
,Wang et al[17],2008,RCT,Prospective,2004.7–2005.6,7/7,6/1,41.3 ± 11.2,Cortocosteroids and negative,ESWT,NR,Ib
,Wong et al[16],2008,OLT,Prospective,2003,4/8,1/3,26 ± 3.8,SARS and corticosteroids,ESWT+HBO+,4 years,IV
,,,,,,,,,,alendronate,,
,Chen et al[19],2009,RCT,Prospective,1999.7–2006.2,17/17,14/3,42.9 ± 9.3,Alcoholism/ cortocosteroids,ESWT,41 ± 7.4 months,Ib
,,,,,,,,,and negative,,,
,Wang et al[20],2009,cohort,Prospective,2002.1–2006.1,15/26,2/13,32.33 ± 8.97,SLE,ESWT,35.6 ± 17.0 months,IIb
,,,,,,24/29,21/3,36.47 ± 8.95,Non-SLE,ESWT,40.1 ± 15.3 months,
4,,,,,,,,,,,,
,Hsu et al[21],2010,RCT,Prospective,2002.7–2005.12,28/50,18/10,39.1 ± 12.6,alcoholism/ cortocosteroids,ESWT+HBO+,25.6 ± 11.0,Ib
,,,,,,,,,and negative,alendronate,,
,,,,,,35/48,27/8,39.6 ± 11.9,,ESWT,29.0 ± 12.4,
,Kong et al[22],2010,OLT,Retrospective,2006.3–2008.3,36/42,29/7,21∼66 (M 42.9),"Cortocosteroids/
trauma",ESWT,1 year,IV
,,,,,,,,,and negative,,,
,Vulpiani et al[23],2012,OLT,Prospective,2003.4–2009.3,36/36,23/13,49.3 ± 11.0 (stage I),NR,ESWT,2 years,IV
,,,,,,,,52.7 ± 14.6 (stage II),,,,
,,,,,,,,45.9 ± 14.1 (stage III),,,,
,Kusz et al[24],2012,OLT,Prospective,2011.5–2012.6,9/9,NR,45.2 ± 8.7,NR,ESWT,6 months,IV
,Wang et al[25],2012,OLT,Prospective,2001-2002,23/29,NR,NR,NR,ESWT,103.45 ± 3.43 months,IV
,Gao et al[26],2015,Cohort,Retrospective,2012.1–2013.12,NR/376,229/106,43.7 ± 13.7,Alcoholism/ cortocosteroids/,ESWT,14.5 ± 8.3 months,IIb
,,,,,,,,,idiopathic and other,,,
,,,,,,NR/152,,,,ESWT,15.2 ± 7.8 months,
,Lee et al[29],2015,OLT,Retrospective,1993.3–2012.3,16/20,9/7,49.7,Alcoholism/ cortocosteroids/,ESWT,24months,IV
,,,,,,,,,trauma and negative,,,
,,,,,,8/12,4/4,44.4,,,,
,Ma et al[28],2016,CR,Retrospective,NR,1/1,0/1,57,NR,ESWT,2 year,IV
,Sun et al[27],2016,OLT,Prospective,2012.1–2014.9,43/86,24/19,35.4 ± 8.2,Leukemia and all-HSCT,ESWT,17.2 ± 9.6 months,IV
,,"CR = case report, ESWT = extracorporeal shockwave therapy, F = female, M = male, M = mean, NR = not",,,,"reported, OLT = open label",,"trial, RCT = randomized controlled trial.",,,,
