0,1,2,3,4,5,6
,,,,,DR53-restricted),
TABLE 5 | Optimal conjugation conditions for the WT1(peptide)-PSNPs formulations.,,,,,,
Peptide-PSNPs,Buffer,pH,Size (nm),Polydispersity,Conjugation,Antigen loading
,,,,(Pdl),efﬁciency,(peptide molecules/particle)
,,,,,(%),
WT1A-PSNPs,PBS,7.1,44.67 ± 0.45,0.09 ± 0.01,100*,2.24 × 103
WT1B-PSNPs,PBS,7.1,47.11 ± 1.42,0.10 ± 0.02,100*,1.41 × 103
WT1C-PSNPs,PBS,7.1,45.80 ± 2.17,0.07 ± 0.02,100*,1.61 × 103
WT1D-PSNPs,PBS,7.1,42.00 ± 0.19,0.05 ± 0.00,44#,7.51 × 102
WT1E-PSNPs,PBS,7.1,41.66 ± 0.45,0.05 ± 0.00,60#,7.12 × 102
