0,1,2,3,4,5,6,7,8,9,10
Table 3,Results of blastocyst,injection with MHV-A59-,,and MMVp-exposed (P13 ? 5 ? 6 h) mESCs,,,,and transfer,,into d2.5
pseudopregnant,recipients,,,,,,,,,
Virus,Virus concentration,Number of litters/,Chimeric pups/,,Seropositive mice days post embryo transfer,,,,,
,(TCID50/ES cell),Number of,number of,,,,,,,
,,,,Recipients,,,,,Progeny,
,,recipients,live pups (%),,,,,,,
,,,,d14,d21,d28,d42,d63,d42,d63
MHV-A59,104,1/5,0/2 (0)ab,4/5a,4/5a,4/5a,4/5a,4/5a,2/2a,0/2a
MHV-A59,10-1,5/5,17/34 (50)b,0/5b,0/5b,0/5b,0/5b,0/5b,0/34b,0/34a
MMVp,10-1,5/5,3/30 (10)a,0/5b,0/5b,0/5b,0/5b,0/5b,0/30b,0/30a
Control,ESC medium,3/3,3/16 (19)a,0/3ab,0/3ab,0/3ab,0/3ab,0/3ab,0/16b,0/16a
