0,1,2,3,4,5,6
,TABLE 3. Relative frequencies of various combinations of,,the G and P serotypes observed in BRV ﬁeld isolates in Italy,,,
,,,No. (%) of,isolates,,
Serotype,,,,,,
,P[1],P[5],P[11],,P[5] 1 P[11],Total
G6,0 (0),57 (38.3),23 (15.4),,3 (2.0),83 (55.7)
G8,0 (0),2 (1.3),5 (3.4),,0 (0),7 (4.7)
G10,0 (0),4 (2.7),47 (31.5),,1 (0.7),52 (34.9)
G6 1 G8,0 (0),0 (0),1 (0.7),,0 (0),1 (0.7)
G positive (untypeable),0 (0),0 (0),6 (4.0),,0 (0),6 (4.0)
Total,0 (0),63 (42.3),82 (55),,4 (2.7),149 (100)
