0,1,2,3,4,5,6,7,8,9
Table 1 The relative change of HIV and AIDS incidence in each province in China from 2004 to 2014,,,,,,,,,
Region,Province,HIV,,Relative Changes of HIV incidence,,AIDS,,Relative Changes of AIDS incidence,
,,incidence,,,,incidence,,,
,,,OR,95%CI,,,OR,95%CI,
,,in 2004,,,,in 2004,,,
,,(/10^5),,,,(/10^5),,,
,ALL,1.02,1.11,1.10,1.13,0.23,1.28,1.23,1.33
North,Beijing,1.38,1.18,1.14,1.22,0.48,1.32,1.20,1.45
,Tianjin,0.37,1.26,1.18,1.33,0.00,1.09,1.07,1.12
,Hebei,0.08,1.28,1.24,1.31,0.04,1.29,1.20,1.37
,Shanxi,0.12,1.14,1.09,1.18,0.11,1.16,1.09,1.23
,Inner Mongolia,0.05,1.38,1.33,1.44,0.03,1.40,1.25,1.56
Northeast,Liaoning,0.11,1.34,1.29,1.40,0.04,1.48,1.40,1.58
,Jilin,0.23,1.22,1.17,1.28,0.06,1.43,1.38,1.49
,Heilongjiang,0.11,1.35,1.30,1.41,0.04,1.42,1.37,1.47
East,Shanghai,1.62,1.06,1.02,1.10,0.19,1.34,1.24,1.46
,Jiangsu,0.17,1.30,1.25,1.35,0.05,1.41,1.33,1.48
,Zhejiang,0.39,1.24,1.19,1.28,0.06,1.47,1.42,1.53
,Anhui,0.05,1.13,1.05,1.21,0.01,1.23,1.13,1.33
,Fujian,0.40,1.27,1.23,1.32,0.14,1.32,1.28,1.36
,Jiangxi,0.14,1.26,1.20,1.32,0.08,1.35,1.30,1.40
,Shandong,0.03,1.20,1.14,1.27,0.03,1.32,1.20,1.45
Central,Henan,2.06,1.06,1.02,1.10,1.36,1.03,1.01,1.05
,Hubei,0.93,1.22,1.19,1.24,0.41,1.21,1.14,1.28
,Hunan,0.57,1.13,1.10,1.15,0.14,1.33,1.28,1.38
South,Guangdong,1.94,1.04,1.01,1.06,0.26,1.25,1.20,1.31
,Guangxi,2.90,1.06,1.03,1.08,0.70,1.26,1.19,1.34
,Hainan,1.31,1.19,1.16,1.22,0.05,1.38,1.23,1.55
Southwest,Chongqing,0.71,1.20,1.16,1.25,0.11,1.62,1.54,1.70
,Sichuan,0.89,1.21,1.15,1.28,0.06,1.64,1.54,1.75
,Guizhou,1.93,1.17,1.13,1.21,0.01,1.63,1.46,1.82
,Yunnan,8.39,1.13,1.09,1.16,0.68,1.33,1.23,1.44
,Tibet,0.00,1.23,1.16,1.35,0.00,1.36,1.26,1.47
Northwest,Shaanxi,0.09,1.40,1.33,1.47,0.05,1.43,1.37,1.50
,Gansu,0.07,1.29,1.23,1.34,0.04,1.40,1.21,1.61
,Qinghai,0.17,1.41,1.33,1.49,0.13,1.40,1.27,1.54
,Ningxia,0.14,1.22,1.18,1.26,0.00,1.06,1.04,1.08
,Xinjiang,2.84,1.03,1.01,1.05,0.10,1.36,1.24,1.50
