0,1,2,3,4,5,6,7,8,9
Birger et al.,,,,,,,,,
TABLE 2 Analysis of differences in proportion symptomatic by viral positivity (total population and populations categorized by study arm),,,,,,,,,
,% positive,,% negative,,,,,,
,,,,,X2,,Fisher’s exact,Odds,Conﬁdence
Deﬁnition,Symptomatic,Asymptomatic,Symptomatic,Asymptomatic,value,P value,test value,ratio,interval
Summer,,,,,,,,,
1,45.7,54.3,13.2,86.8,62.96,(cid:3)0.01,,5.52,3.4–8.8
2,48.1,51.9,17.1,82.9,47.89,(cid:3)0.01,,4.48,2.8–7.1
3,23.5,76.5,5.8,94.2,37.66,(cid:3)0.01,,5.00,2.8–8.7
4,2.5,97.5,0.4,99.6,5.62,0.02,0.07,5.64,0.5–32.2
5,8.6,91.4,1.6,98.4,18.86,(cid:3)0.01,(cid:3)0.01,5.68,1.9–14.3
6,2.5,97.5,0.5,99.5,4.64,0.03,0.09,4.84,0.5–26
7,7.4,92.6,1.3,98.7,17.04,(cid:3)0.01,(cid:3)0.01,5.89,1.9–16.1
Winter,,,,,,,,,
1,29.8,70.2,14.6,85.4,13.45,(cid:3)0.01,,2.47,1.5–4
2,31.0,69.0,18.1,81.9,8.36,(cid:3)0.01,,2.03,1.2–3.3
3,14.3,85.7,6.6,93.4,6.84,(cid:3)0.01,,2.36,1.2–4.4
4,4.8,95.2,0.5,99.5,16.55,(cid:3)0.01,0.01,9.07,1.8–39.1
5,8.3,91.7,2.0,98.0,13.08,(cid:3)0.01,(cid:3)0.01,4.44,0.7–11.2
6,4.8,95.2,0.6,99.4,14.41,(cid:3)0.01,0.01,7.77,1.6–31.3
7,4.8,95.2,1.6,98.4,4.17,0.04,0.06,3.00,0.7–9.4
All,,,,,,,,,
1,37.6,62.4,13.9,86.1,66.88,(cid:3)0.01,,3.74,2.7–5.2
2,39.4,60.6,17.6,82.4,47.87,(cid:3)0.01,,3.05,2.2–4.2
3,18.8,81.2,6.2,93.8,37.93,(cid:3)0.01,,3.53,2.3–5.3
4,3.6,96.4,0.5,99.5,22.34,(cid:3)0.01,(cid:3)0.01,7.64,2.3–22.3
5,8.5,91.5,1.8,98.2,31.81,(cid:3)0.01,(cid:3)0.01,5.06,1.9–9.7
6,3.6,96.4,0.6,99.4,19.09,(cid:3)0.01,0.01,6.55,2–18.4
7,6.1,93.9,1.5,98.5,18.81,(cid:3)0.01,(cid:3)0.01,4.31,1.9–9.1
