0,1,2,3,4,5,6,7,8,9,10
Table 1 Characteristics of responding physicians compared to the total number of registered practicing family physicians in each region,,,,,,,,,,
,,Calgary,,Edmonton,,Other urban,,Rural,,Total
,Survey,Provincial data,Survey,Provincial data,Survey,Provincial data,Survey,Provincial data,Survey,Provincial data
,N (%),N (%),N (%),N (%),N (%),N (%),N (%),N (%),N,N
Sex,,,,,,,,,,
Male,31 (53.4),630 (50.0),17 (45.9),645 (58.5),34 (77.3),34 (77.3),35 (66.0),612 (76.0),117 (61.0),2145 (59.2)
Female,27 (46.6),630 (50.0),20 (54.1),458 (41.5),10 (22.7),131 (33.7),18 (34.0),193 (24.0),75 (39.1),1412 (39.0)
Total,58,1260,37,1103,44,389,53,805,192,3557
Age Group,,,,,,,,,,
25-34 years,5 (8.6),157 (11.9),5 (13.5),142 (12.3),6 (13.6),53 (12.1),7 (13.2),131 (18.4),23 (12.0),483 (13.3)
35-44 years,483 (13.3),355 (27.0),4 (10.8),299 (25.8),10 (22.7),10 (22.7),17 (32.1),184 (25.8),49 (25.5),959 (26.5)
45-54 years,19 (32.8),411 (31.2),13 (35.1),313 (27.1),15 (34.1),125 (28.5),10 (18.9),178 (25.0),57 (29.7),1027 (28.3)
55-64 years,12 (20.7),281 (21.2),11 (29.7),277 (23.9),9 (20.5),98 (22.3),14 (26.4),154 (21.6),46 (24.0),810 (22.3)
65+ years,3 (5.1),113 (8.6),4 (10.8),126 (10.9),4 (9.1),42 (9.6),3 (5.7),65 (9.1),14 (7.3),346 (9.5)
Not known,1 (1.7),,0 (0.0),,0 (0.0),,2 (3.8),,3 (1.6),
Total,58,1317,37,1157,44,439,53,713,192,3625
,Country of Primary Medical Education,,,,,,,,,
North America,40 (69.0),908 (70.0),25 (67.5),816 (71.1),28 (63.6),276 (63.7),30 (56.6)*,293 (40.3),123 (64.0),2293 (63.3)
South Africa,2 (3.5),109 (10.0),1 (2.7),36 (3.1),8 (18.2),75 (17.3),15 (28.3),266 (36.6),26 (13.5),486 (13.4)
"UK,
Ireland, Australia",6 (10.3),86 (10.0),4 (10.8),65 (5.6),1 (2.3),24 (5.5),4 (7.5),72 (9.9),15 (7.8),247 (6.8)
Other Countries,8 (13.8),214 (20.0),6 (16.2),231 (20.1),6 (13.6),58 (13.4),4 (7.5),96 (13.2),24 (12.5),599 (16.5)
Not known,2 (3.5),,1 (2.7),,1 (2.3),,0 (0.0),,4 (2.1),
Total,58,214 (20.0),37,1148,44,433,53,727,192,3625
