0,1,2,3
T,able 1. Demographic and baseline characteristics of pilgrims during the 2012 and 2013 Hajj*,,
Characteristic,"2012 study cohort, n = 169","2013 study cohort, n = 129",p value
"Mean age, y (SD, range)","59.3 (12.4, 21–83)","61.7 (9.8, 34–85)",0.079
"Age groups, y, no. (%)",,,
20–40,13 (7.8),5 (3.9),NA
41–60,67 (40.1),50 (38.8),NA
61–80,85 (50.9),71 (55.0),NA
>80,2 (1.2),3 (2.3),NA
"Sex, no. (%)",,,0.669
M,64 (38.3),52 (40.3),NA
F,103 (61.7),77 (59.7),NA
"Birthplace, no. (%)",,,
Algeria,116 (69.5),90 (69.8),NA
Tunisia,17 (10.2),17 (13.2),NA
Morocco,15 (9.0),15 (11.6),NA
Metropolitan France,13 (7.8),5 (3.9),NA
Egypt,6 (3.6),2 (1.6),NA
"Location of residence in France, no. (%)",,,
Marseille,110 (65.9),91 (70.5),NA
Southern France (outside  Marseille),48 (28.7),31 (24.0),NA
Other,7 (5.4),7 (5.4),NA
"Duration of stay in France, y, no. (%)†",,,
5–10,8 (5.4),13 (11.1),NA
11–20,13 (8.8),11 (9.4),NA
>20,127 (85.8),93 (79.5),NA
"*NA, not applicable.",,,
