0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
different,age,groups,,(p < 0.001),,and,the,,peak,,and proportion of positive samples (Fig. 2).,,,,,,,,
,Table 1 Distribution of,,"respiratory pathogens in 11,399 pediatric patients hospitalized with acute respiratory illness",,,,,,,,,,,,,,,,
Pathogen,HBoV1,infA,infB,RSV,EV,HRVa,ADV,PIV1,PIV2,PIV3,PIV4,229E,OC43,NL63,HKU1,HMPV,MP,CP,"Positive rate, %"
HBoV1,248,13,4,29,15,17,14,4,3,10,1,0,9,3,1,7,14,0,2.2
infA,,839,34,95,41,8,23,9,7,11,0,7,38,4,4,12,46,1,7.4
infB,,,300,25,9,6,4,1,1,6,0,0,9,0,1,5,15,2,2.6
RSV,,,,1690,73,45,38,9,13,14,3,10,29,10,3,16,38,8,14.8
EV,,,,,498,16,24,14,2,13,1,4,10,6,1,10,21,5,4.4
HRVa,,,,,,402,14,3,2,12,2,2,11,1,1,3,21,6,5.0
ADV,,,,,,,621,5,3,7,2,3,14,5,2,9,36,3,5.4
PIV1,,,,,,,,116,2,2,0,2,5,1,0,1,9,0,1.0
PIV2,,,,,,,,,72,3,0,2,9,0,0,2,3,0,0.6
PIV3,,,,,,,,,,296,0,1,15,1,1,3,15,1,2.6
PIV4,,,,,,,,,,,25,1,1,0,0,0,3,0,0.2
229E,,,,,,,,,,,,64,14,2,0,3,3,0,0.6
OC43,,,,,,,,,,,,,346,2,1,14,27,3,3.0
NL63,,,,,,,,,,,,,,60,1,1,3,1,0.5
HKU1,,,,,,,,,,,,,,,38,1,3,1,0.3
HMP,,,,,,,,,,,,,,,,321,9,0,2.8
MP,,,,,,,,,,,,,,,,,760,2,6.7
CP,,,,,,,,,,,,,,,,,,77,0.7
Single infection,136,546,203,1314,286,261,458,67,35,203,13,26,185,28,19,243,531,51,40.4
Co-infection,112,293,97,376,212,141,163,49,37,93,12,38,161,32,19,78,229,26,8.8
,"Data are number in each group, except where specifically stated. HBoV1 human bocavirus 1,",,,,,,,,,,,"InfA influenza A virus,",,,"InfB influenza B virus, RSV respiratory syncytial",,,,
