0,1,2,3,4,5
,Table 3. Clinical data in monomicrobial and polymicrobial episodes.,,,,
,,,Pneumoniapatients(n=135/185),Controlsubjects(n=22/25),
,,Monomicrobial,Polymicrobial,Monomicrobial,Polymicrobial
Case number,,32,82,3,15
"Age, yr
(SD)",,58.5 (13.9),62.9 (14.7),74 (13.4),54.2 (17.3)
Male gender,,16,46,3,7
Female gender,,16,36,0,8
Immunocompromized,,15,20,1,4
ARDS,,15,19,0,4
CPIS (SD),,3.7 (1.8),3.6 (1.7),4.6 (0.5),4 (1.4)
SOFA score (SD),,6.9 (3.1),6.7 (3.6),6.3 (3.7),5.4 (2.6)
Radiologic score (SD),,5.5 (2.9),4.8 (3.2),3.6 (3.2),5.3 (2.8)
"Temperature, uC (SD)",,37.6 (1),37.8 (1.7),37.2 (1.2),37.6 (1.4)
Initial antibiotic therapy,,18,33,2,9
Less than 2 days prior,to sampling,6,17,0,3
3 days or more prior,to sampling,12,16,2,6
"Length of
ICU stay prior","to sampling, d (SD)",6.1 (9.1),6.3 (10),1.6 (1.1),13.1 (15.6)
"Total
length of hospital stay, d (SD)",,26 (29.7),28.2 (23.3),4.3 (1.5),36.6 (35.9)
Length of MV prior,"to sampling, d (SD)",6.8 (10.3),7.1 (11.2),1.3 (0.5),6.3 (7.2)
Sepsis,,7,19,0,3
Septic shock,,15,38,1,7
ICU mortality (%),,16 (50),23 (28),1 (33),3 (20)
