0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,"Prior to the influenza A(H1N1) pandemic of 2009–10,",,,,few data
,,,Log10 reduction in genome copy,,,,,,,,
,,,number after indicated contact,,,,were available with regard to virus survival on different household,,,,
,,time (hrs),,,,,,,,,
Surface,Type*,0,4,9,24,,,,,,
,,,,,,Table 3. Detection of,,influenza AH04 virus genome on,,,
J-cloth,"P, NM",20.26,0.16,0.09,0.79,different surfaces.,,,,,
Silver containing cloth,"P, M",1.51,1.38,2.30,1.74,,,,,,
"Soft
toy","P, NM",20.26,0.23,0.48,0.71,,,,,,
,,,,,,,,,Log10 reduction in genome copy,,
Window glass,"NP, NM",20.18,0.06,0.48,0.38,,,,,,
,,,,,,,,,number after indicated contact,,
Light switch material,"NP, NM",1.28,1.16,2.86,1.58,,,time (hrs),,,
Telephone handset,"NP, NP",0.95,1.32,1.46,2.76,Surface,Type*,0,4,9,24
Kitchen work surface,"NP, NM",2.09,2.25,2.00,2.20,,,,,,
,,,,,,"Soft
toy","P, NM",0.31,0.67,0.70,1.64
Computer keyboard,"NP, NM",1.97,1.29,2.44,2.20,,,,,,
,,,,,,Glass,"NP, NM",20.12,0.43,0.38,0.81
Stainless steel,"NP, M",20.35,0.03,0.06,0.06,,,,,,
,,,,,,Kitchen work surface,"NP, NM",0.00,20.92,0.81,1.37
Aluminium,"NP, NM",1.40,1.67,2.12,2.12,,,,,,
,,,,,,Computer,"NP, NM",20.01,0.70,1.31,1.17
Pine,"P, NM",2.06,3.84,4.82,.6.9,keyboard,,,,,
Varnished oak,"NP, NM",1.27,1.16,1.90,2.49,Stainless steel,"NP, M",0.24,0.41,0.53,1.38
Unvarnished oak,"P, NM",1.27,1.48,2.95,3.16,Pine (unsealed),"P, NM",20.33,1.45,2.43,.4.5
Plastic control{,"NP, NM",20.35,20.48,0.06,0.20,Plastic control1,"NP, NM",0.27,0.87,1.06,1.11
