0,1,2,3,4,5,6,7,8
,"Lin et al. BMC Infectious Diseases 2011, 11:128",,,,,,,Page 5 of 9
http://www.biomedcentral.com/1471-2334/11/128,,,,,,,,
,Table 3 Associations between background characters and KAP regarding A/H1N1,,,,,,,
,,Know the main modes of,,worry about infection of,take up preventive,,take up A/H1N1,
,transmission,,A/H1N1,,measures,,vaccination,
Variables,Row%,ORm(95% CI),Row%,ORm(95% CI),Row%,ORm(95% CI),Row%,ORm(95% CI)
Gender,,,,,,,,
Male,58.5,NU,25.5,1.00,75.4,1.00,11.1,NU
Female,58.4,,29.5,1.24(1.14-1.36) ‡,80.4,1.41(1.28-1.55) ‡,10.5,
Age (years),,,,,,,,
18~,60.5,1.00,31.1,1.00,79.1,1.00,20.5,1.00
25~,60.9,1.07(0.93-1.24)*,30.1,1.10(0.94-1.29) ‡,79.1,1.18(0.99-1.40),10.7,1.15(0.91-1.46) †
50~,54.4,1.04(0.88-1.24),23.0,0.87(0.72-1.04),75.3,1.12(0.92-1.38),6.4,0.78(0.57-1.05)*
65~,50.5,0.87(0.72-1.06)*,19.5,0.77(0.62-0.96) †,77.2,1.34(1.06-1.69)*,7.0,0.92(0.65-1.30)
Education,,,,,,,,
Primary school and illiterate,38.0,1.00,22.7,1.00,64.6,1.00,4.7,1.00
Middle school,55.6,1.71(1.48-1.98) †,26.3,1.12(0.95-1.33),79.3,2.00(1.71-2.34) ‡,8.9,1.12(0.82-1.53)
College and above,66.9,2.16(1.83-2.54) ‡,30.4,1.23(1.02-1.49) *,80.4,1.98(1.64-2.38) ‡,14.5,1.09(0.78-1.52)
Occupation,,,,,,,,
Student,62.7,1.00,33.1,1.00,80.3,1.00,35.9,1.00
Teacher,73.2,1.46(1.09-1.96) ‡,36.8,1.12(0.84-1.50) †,82.5,0.94(0.66-1.33),28.0,0.67(0.48-0.94) ‡
Health care worker,71.0,1.31(0.97-1.78) †,29.6,0.74(0.54-1.02),87.3,1.36(0.91-2.03) †,46.2,1.52(1.09-2.11) ‡
Office staff,67.1,1.08(0.88-1.33) †,29.4,0.81(0.65-1.01),78.0,0.76(0.59-0.97) †,7.9,0.13(0.10-0.17) ‡
Worker,54.4,0.77(0.62-0.97) †,26.6,0.74(0.58-0.95),81.0,0.99(0.74-1.31),6.6,0.12(0.09-0.17) ‡
Farmer,41.3,0.63(0.49-0.80) ‡,25.5,0.76(0.59-0.99),69.1,0.70(0.53-0.94) †,3.1,0.06(0.04-0.10) ‡
Public service personnel,57.6,0.81(0.64-1.02) *,28.4,0.80(0.63-1.03),80.3,0.89(0.67-1.18),10.9,0.19(0.14-0.26) †
Others,55.0,0.83(0.67-1.02) †,24.6,0.66(0.53-0.83) ‡,78.1,0.74(0.57-0.96) †,5.9,0.11(0.08-0.15) ‡
Survey wave,,,,,,,,
30 Nov 2009-27 Dec 2009,56.9,1.00,34.3,1.00,82.6,1.00,9.1,1.00
4 Jan 2010-24 Jan 2010,57.7,1.08(0.98-1.20),26.6,0.70(0.62-0.78),77.7,0.91(0.80-1.03),9.7,1.12(0.92-1.33)
24 Feb 2010-25 Mar 2010,60.6,1.20(1.08-1.34) †,22.1,0.54(0.48-0.60) ‡,74.1,0.71(0.62-0.80) ‡,13.5,1.67(1.40-1.99)
,ORm: odds ratio obtained from stepwise multivariate logistics regression analysis using univariately significant variables as candidate variables and adjusting for,,,,,,,
