0,1,2,3,4,5
,Table 5: Characteristics of hospice patients admitted during the peak period (May/June 2003) of the severe acute respiratory,,,,
"syndrome, stratified by location",,,,,
,Northern Taiwan (N,Middle Taiwan (N =,Southern Taiwan (N =,Eastern Taiwan (N =,P value
,"= 225), n (%)","35), n (%)","248), n (%)","58), n (%)",
Gender,,,,,0.311*
Female,106 (47.1),11 (31.4),109 (44.0),23 (39.7),
Male,119 (52.9),24 (68.6),139 (56.8),25 (60.3),
Age in years,66.6 (SD 14.7),61.6 (SD 16.7),62.5 (SD 14.8),67.9 (SD 14.3),0.005**
Primary diagnosis,,,,,
"Ca of trachea, bronchus, & lung",42 (18.7),5 (14.3),43 (17.3),8 (13.8),
Ca of liver & intrahepatic bile,38 (16.9),4 (11.4),42 (16.9),9 (15.5),
ducts,,,,,
Ca of colon,12 (5.3),1 (2.9),18 (7.3),6 (10.3),
Ca of female breast,17 (7.6),,20 (8.1),3 (5.2),
Ca of stomach,13 (5.8),1 (2.9),15 (6.0),1 (1.7),
Ca of pancreas,7 (3.1),4 (11.4),10 (4.0),3 (5.2),
"Ca of rectum, rectosigmoid",9 (4.0),1 (2.9),8 (3.2),3 (5.2),
"junction, & anus",,,,,
Ca of cervix uteri,3 (1.3),,14 (5.6),2 (3.4),
Others,84 (37.3),19 (54.3),78 (31.5),23 (39.7),
