0,1,2,3,4,5,6,7,8,9,10,11,12,13
Table 4. Viremia in E217A-immunized RMs after challenge with wild-type DENV-2*.,,,,,,,,,,,,,
Group (log10,,Dose (log10,,,,,,,,,,Peak titer,Duration days
,,,,Viremia (log10 PFU/ml) by post challenge day,,,,,,,,,
PFU),Monkey,PFU),,,,,,,,,,(SD),(SD)
,,,1,2,3,4,5,6,7,8,9,,
E217A,R0319,5,0,0,0,0,0,0,0,0,0,,
5.0,R0212,5,0,0,0,0,0,0,0,0,0,,
,R0105,5,0,0,0,0,0,0,0,0,0,,
,R0942,5,0,0,0,0,0,0,0,0,0,,
E217A,R0055,5,0,0,0,0,0,0,0,0,0,,
4.0,R0482,5,0,0,0,0,0,0,0,0,0,,
,R0098,5,0,0,0,0,0,0,0,0,0,,
E217A,R0198,5,0,0,0,0,0,0,0,0,0,,
3.0,R0195,5,0,0,0,0,0,0,0,0,0,,
,R0200,5,0,0,0,0,0,0,0,0,0,,
PBS,R0522,5,1.9,1.7,0,0,0,2.3,1.6,0,0,2.5(0.2),4.8(0.5)
,R0342,5,1.6,2.8,1.7,2.4,2.1,0,0,0,0,2.5(0.2),4.8(0.5)
,R1751,5,0,0,1.5,2.3,1.7,1.9,2.4,0,0,2.5(0.2),4.8(0.5)
,R0351,5,0,2.0,2.0,2.6,2.4,1.6,0,0,0,2.5(0.2),4.8(0.5)
