0,1,2,3,4,5,6,7
Table 4. Analysis of outcomes,,,,,,,
,,Group A,Group B,Group C,,P–value Comparison between group,
,,(n ¼ 8),(n ¼ 8),(n ¼ 8),,,
Outcomes,,Mean (SD),Mean (SD),Mean (SD),"A, B","B, C","A, C"
"Chest
radiographic scores",,,,,,,
"Initial
(IS)",,2.1 (1.2),2.5 (1.6),3.0 (2.7),0.57,0.69,0.43
"Maximal
(MS)",,5.9 (3.5),5.6 (3.4),7.9 (4.0),0.85,0.23,0.31
"Final
(FS)",,0.7 (0.9),0.5 (0.6),2.7 (3.4),0.75,0.12,0.15
IRSa,,5.3 (3.7),5.0 (3.5),5.6 (4.7),0.91,0.91,0.99
"Duration (days)
till",improvement,,,,,,
Worsening (DW)b,,5.5 (4.2),3.8 (2.8),7.8 (5.7),0.36,0.10,0.37
"Improvement
(DI)c",,6.7 (1.8),9.2 (5.9),11.2 (4.9),0.28,0.47,0.04
Course (DC)d,,12.2 (5.0),13.0 (7.8),19.0 (10.0),0.81,0.20,0.11
,"aIRS (Improving Radiographic Scores), MS – FS; bDW, Duration (days) between IS to MS; cDI, Duration (days) between MS to FS; dDC, DWþDI",,,,,,
