0,1,2,3
transcription of these chemokines in ovarian cancer cells.,,,
,,Table 1. Chemokines released by ovarian cancer cells.,
Systematic Name,Alternate Human Names,Tissue/Cells,Reference
,Monocyte chemotactic,"Tumor biopsies,","Negus et al., 1995 [18]"
CCL2,,,
,protein 1 (MCP-1),serum and ascites,"Milliken et al., 2002 [19]"
,,"Tumor ascites, plasma","Milliken et al., 2002 [19]"
CCL5,RANTES,,
,,and peritoneal fluid,"Negus et al., 1997 [20]"
,,Primary ovarian cancer,"Levina et al., 2009 [21]"
CCL11,Eotaxin,,
,,cells obtained from ascites,"Nolen et al., 2010 [22]"
,Thymus expressed,,
CCL25,,Tumor tissue,"Singh et al., 2011 [23]"
,chemokine (TECK),,
,Mucosae-associated,,"Facciabene et al.,"
CCL28,,Tumor tissue,
,epithelial chemokine (MEC),,2011 [24]
,Growth-regulated,Plasma and,"Lee et al., 2006 [25]"
CXCL1,,,
,protein (cid:3) (GRO-(cid:3)),tumor ascites,"Yang et al., 2006 [26]"
,Growth-regulated,Ovarian cancer,"Son et al., 2007 [27]"
CXCL2,,,
,protein (cid:4) (GRO-(cid:4)),cell lines,"Kavandi et al., 2012 [28]"
,,"Tumor tissue, ascites,","Lee et al., 1996 [29]"
CXCL8,Interleukin 8 (IL-8),,
,,serum and cyst fluid,"Xu et al., 1999 [30]"
,Stromal cell-derived,"Tumor biopsies,","Zou et al., 2001 [31]"
CXCL12,,,
,factor (SDF-1),tissues and ascites,"Scotton et al., 2002 [32]"
,Transmembrane,Epithelial ovarian,"Guo et al., 2011 [33]"
CXCL16,,,
,chemokine CXCL16,carcinoma tissue,"Gooden et al., 2014 [34]"
,,Epithelial ovarian,
CX3CL1,Fractalkine,,"Gaudin et al., 2011 [35]"
,,carcinoma tissue,
,,Tumor ascites and,
XCL1/2,Lymphotactin,,"Kim et al., 2012 [36]"
,,ovarian cancer cell lines,
