0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,"Table 1 Summary statistics of demographic characteristics, mortality, hospitalization, and virological and meteorological data in",,,,,,,,,,,,,,,
Hong Kong in different periods,,,,,,,,,,,,,,,,
,,Whole period,,,Pre-SARS,,,,Post-SARS,,,,,Post-pandemic,,
,Mean,SD,Min.,Max,Mean,SD,Min.,Max,Mean,SD,Min.,Max,Mean,SD,Min.,Max
Elderly population (per 1000),860.4,65.5,753.3,980.3,765.2,12,753.3,777.1,850.6,28.8,795.4,898.6,953.5,24,918.5,980.3
"Weekly death no.
(n)",,,,,,,,,,,,,,,,
All-causes,572.5,86.6,406,869,488.6,49.5,406,624,569.5,76.3,415,869,630.8,85.3,484,869
CRD,290.7,58.8,179,522,240.5,35.8,179,351,291.4,54.5,194,522,321.3,60.9,234,503
P&I,85.3,28,36,190,55.1,9.6,36,98,80.8,21,41,186,115.9,25.4,71,190
COPD,36,9.6,12,67,37,9.3,19,64,36.2,9.7,12,65,34.2,9.4,19,67
Stroke,55.6,10.9,30,92,52.8,10.6,32,81,57.4,10.8,30,92,52.8,10.6,30,84
IHD,64.1,15.4,34,129,53,10.8,34,82,66.2,15.1,37,129,66.4,15.7,35,120
Accidents,10.7,3.7,2,23,10.2,3.7,2,20,10.8,3.8,3,23,10.2,3.4,4,20
"Weekly hospitalization no.
(n)",,,,,,,,,,,,,,,,
CRD,3542.5,958.5,1704,6340,3196.9,283.2,2535,3945,2965.3,445.4,2260,4566,4858.7,485.1,3906,6079
P&I,597.9,306.7,98,1497,177,34,111,256,592.7,187.8,124,1200,930.5,199.6,673,1497
COPD,687.8,168.6,285,1188,767.3,104.4,576,1040,596.2,112.4,387,1048,815.9,147.6,573,1188
Stroke,635.3,211.6,329,1254,611.5,60.1,471,750,479.9,79.8,334,766,917.7,92.5,723,1166
IHD,659.4,225.1,257,1368,583.7,63,471,718,516.3,90.1,374,866,958.4,109.7,711,1279
Accidents,493.2,115.4,267,845,430.6,39.3,354,547,434,61.8,325,634,656.8,55.1,549,845
Weekly positive specimens (n),19.8,32.8,0,310,11.8,9.7,0,41,13.6,15.8,0,93,23.9,30.9,0,157
Weekly positive percentage,1.9,2.2,0,14.9,1.9,1.5,0,5.6,1.7,2,0,11.5,2.1,2.7,0,14.9
(%),,,,,,,,,,,,,,,,
Temperature (°C),23.5,4.9,11.4,30.5,23.8,4.5,14.1,30.2,23.2,4.8,11.4,30.5,23.4,5.2,12.3,30.1
Relative Humidity (%),78.3,7.8,51,93.7,78.5,7.5,54.4,92,77.7,8.3,51,93.6,77.9,7.5,54.9,93.7
Note. Weekly positive percentage (%),,is defined as the percentage of positive specimens among annual total specimens,,,,,,,,,,,,,,
