0,1,2,3,4,5,6
,AIDS,Avian,Meningitis,Viral,Nosocomial,SARS
,,influenza,,hepatitis,infections,
Total (%),93,75,68,56,48,23
Men (%),92,74,64,47*,45,22
Women (%),93,76,71,65*,51,23
Age,,,,,,
categories,,,,,,
(years),,,,,,
18-24,99,74,63,35*,32*,19
25-34,93,77,66,51,39*,20
35-44,96,81,77*,62,50,24
45-59,92,71,67,62,51,20
60 and over,88*,73,65,59,59*,27
Socio-,,,,,,
economic,,,,,,
status,,,,,,
High,95,76,72,63,55,25
Medium,94,81,68,60,54,21
Low,92,72,67,53*,44*,22
First evoked,38,21,14,15,8,4
(%),,,,,,
Second,36,41,36,31,28,23
evoked (%),,,,,,
Total (%),74,62,50,46,36,27
