0,1,2,3,4,5,6,7,8,9,10,11,12
Table 1 List of dominant bacterial genera and their average abundance (%) in samples,,,,,,,,,,,,
,Healthy adults,,,,Patients,,,,,,,
,non ICU,ICU staff,Community,Total,IF,PI,RH,RS,CR,AD,MP,Total
,(n =9),(n =8),(n =40),(n =57),(n =7),(n =24),(n =8),(n =14),(n =4),(n =1),(n =1),(n =59)
Streptococcus,32.1 ± 19.6,57.4 ± 19.8,60.8 ± 21.4,55.8,43.4 ± 28.3,23.3 ± 34.3,52.5 ± 20.3,35.1 ± 32.2,26.3 ± 32.6,0.6,43.8,32.6
Haemophilus,6.4 ± 4.9,6.1 ± 5.1,6.3 ± 7.9,6.3,11.5 ± 26.4,39.6 ± 43.1,7.2 ± 11.8,22.3 ± 37.2,0.1 ± 0.2,84.7,0.5,25.2
Neisseria,13.6 ± 13.4,8.1 ± 6.8,6.7 ± 9.6,8.0,8.2 ± 12.4,0.5 ± 1.1,2.5 ± 4.6,0.7 ± 2.0,0.1 ± 0.1,0.0,1.6,1.7
Moraxella,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0,0.3 ± 0.7,9.4 ± 23.2,9.3 ± 26.3,21.6 ± 35.0,6.6 ± 13.2,14.1,0.0,10.9
Prevotella,8.5 ± 7.4,0.6 ± 0.4,4.0 ± 7.1,4.2,5.6 ± 6.3,1.8 ± 6.1,8.0 ± 9.3,1.3 ± 2.8,0.7 ± 0.8,0.1,9.5,3.0
Veillonella,4.7 ± 3.7,1.2 ± 0.7,2.3 ± 3.3,2.5,8.6 ± 9.1,1.5 ± 4.6,4.2 ± 5.6,2.1 ± 3.6,7.3 ± 12.0,0.1,11.2,3.4
Gemella,5.6 ± 8.6,11.4 ± 9.5,4.0 ± 7.4,5.3,0.3 ± 0.6,0.3 ± 1.2,1.5 ± 2.9,0.1 ± 0.3,0.2 ± 0.4,0.0,0.4,0.4
Klebsiella,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0,0.0 ± 0.0,6.5 ± 22.1,0.0 ± 0.1,4.2 ± 8.6,0.0 ± 0.0,0.0,0.0,3.7
Granulicatella,1.3 ± 1.2,2.7 ± 2.4,0.8 ± 0.9,1.1,4.6 ± 4.7,0.6 ± 2.1,0.8 ± 1.0,3.9 ± 11.4,0.0 ± 0.1,0.0,5.4,1.9
Rothia,0.1 ± 0.1,1.4 ± 1.5,2.7 ± 3.7,2.1,0.3 ± 0.4,0.2 ± 0.7,3.3 ± 5.4,0.3 ± 0.9,0.0 ± 0.1,0.0,1.1,0.7
Leptotrichia,4.8 ± 9.7,0.3 ± 0.3,1.7 ± 5.5,2.0,0.8 ± 0.8,0.2 ± 0.9,0.1 ± 0.2,0.1 ± 0.3,0.4 ± 0.5,0.0,7.3,0.4
Porphyromonas,1.7 ± 2.2,2.9 ± 5.0,1.4 ± 2.8,1.7,2.8 ± 3.4,0.0 ± 0.1,0.2 ± 0.2,0.1 ± 0.3,0.0 ± 0.0,0.0,0.8,0.4
Staphylococcus,0.1 ± 0.2,0.0 ± 0.0,0.0 ± 0.0,0.0,0.1 ± 0.1,1.0 ± 3.6,2.5 ± 7.0,0.4 ± 1.1,17.1 ± 34.2,0.0,0.0,2.0
Abbreviations:,"ICE intensive care unit, non ICU healthy hospital staff who do not work in ICU,",,,,,"ICU staff healthy hospital staff who work in ICU, Community healthy community people,",,,,,"IF influenza, PI parainfluenza, RH",
