0,1
Table 1,
Baseline characteristics,
Characteristic,Patients (%; n = 151)
Age (years; median [range]),56 (20–94)
Sex,
Male,73 (48.3)
Female,78 (51.7)
Comorbiditya,67 (44.7)
Solid tumours and haematological malignancies,14 (9.3)
HIV infection,17 (11.3)
Diabetes,13 (8.6)
COPD and asthma,15 (9.9)
Drug or alcohol abuse,13 (8.6)
Other diseasesb,17 (11.3)
Medication before admission,
Bacterial antibiotics,39 (25.8)
Immunosuppressivesc,9 (6.0)
Disease severity,
SAPS II (median [5th to 95th percentile]),18 (6–36)
SOFA score,
0–1,86 (57.0)
2–3,48 (31.8)
4–5,12 (7.9)
>5,5 (3.3)
