0,1,2,3,4,5,6,7,8
,,,2011–2012,,,2012–2013,,
,,"Age Group, y",,,,"Age Group, y",,
Detected Virus or No. of,18–64,65–74,≥75,Overall,18–64,65–74,≥75,Overall
Patients,n = 116,n = 63,n = 107,N = 286,n = 92,n = 77,n = 227,N = 396
Detected virus (including coinfectionsa),,,,,,,,
Influenza A or B,33 (28),14 (22),15 (14),62 (22),38 (41),29 (38),116 (51),183 (46)b
Influenza A,17 (15),6 (10),5 (5),28 (10),37 (40),29 (38),116 (51),182 (46)
A/H3N2,7 (6),3 (5),3 (3),13 (5),34 (37),26 (34),116 (51),176 (44)
A/H1N1,10 (9),3 (5),2 (2),15 (5),3 (3),3 (4),0 (0),6 (2)
Influenza B,16 (14),8 (13),10 (9),34 (12),1 (1),0 (0),0 (0),1 (0.3)
Other respiratory virus,23 (20),15 (24),34 (32),72 (25),14 (15),20 (26),40 (18),74 (19)b
RSV,1 (1),1 (2),11 (10),13 (5),2 (2),9 (12),15 (7),26 (7)
Enterovirus/rhinovirus,9 (8),6 (10),4 (4),19 (7),4 (4),8 (10),14 (6),26 (7)
Coronavirusc,4 (3),2 (3),10 (9),16 (6),5 (5),1 (1),2 (1),8 (2)b
hPIVd,0 (0),0 (0),1 (1),1 (0.3),2 (2),2 (3),8 (4),12 (3)
hMPV,8 (7),9 (14),10 (9),27 (9),1 (1),1 (1),2 (1),4 (1)b
Adenovirus,1 (1),0 (0),0 (0),1 (0),0 (0),0 (0),0 (0),0 (0)
No. of patients with detection of,,,,,,,,
At least 1 virus,56 (48),29 (46),47 (44),132 (46),48 (52),46 (60),152 (67),246 (62)b
Influenza A or B,33 (28),14 (22),14 (13),61 (21),38 (41),29 (38),116 (51),183 (46)b
Other respiratory virus,23 (20),15 (24),33 (31),71 (25),10 (11),17 (22),36 (16),63 (16)b
