0,1,2,3,4,5,6,7
Table 5,Reproductive performance and serology of mice receiving blastocysts injected with MHV-A59 (P13 ? 5 ? 4) and MMVp,,,,,,
(P13 ? 5 ? 5) exposed mESCs,,,,,,,
Parameter,,Period of culture and viral dose per mESC,,,,,
,P13 ? 5 ? 6 h,,,,P13 ? 5 ? 4/5,,
,104 TCID50,10-1 TCID50,10-1 TCID50,Control ES,10-1 TCID50,10-1 TCID50,Control ES
,MHV,MHV,MMV,medium,MHV,MMV,medium
Progeny/embryos,2/50 (4)a,34/50 (68)b,30/50 (60)b,16/30 (53)b,16/110 (15)c,22/120 (18)c,19/40 (48)b
transferred (%),,,,,,,
Litters/number of,1/5,5/5,5/5,3/3,5/11,6/12,3/4
transfers performed,,,,,,,
Litters with chimeras,0/1 (0),5/5 (17)aa,2/5 (3),2/3 (3),0/5 (0)b,0/6 (0),3/4 (8)b
(number of mice),,,,,,,
Seropositive litters,1/5 (2),0/5(0)a,0/5(0),0/3 (0),5/5 (16)b,0/6 (0),0/4 (0)
(number of mice),,,,,,,
Seropositive litters with,0/1 (0),0/5 (0),0/5 (0),0/3 (0),0/5 (0),0/6 (0),0/4 (0)
chimeras (number,,,,,,,
of mice),,,,,,,
Litters with germline,0/1 (0),3/5 (8),2/5 (3),2/2 (3),0/5 (0),0/6 (0),3/3 (8)
chimeras (number,,,,,,,
of mice),,,,,,,
Germline chimeras/,0/0 (0),8/17,3/3,3/3,0/0 (0),0/0 (0),5/8c
chimeras,,,,,,,
Germline progeny,0,56,20,20,0,0,31
Progeny/germline,0,7,6.7,6.7,0,0,6.2
chimera,,,,,,,
