0,1,2,3
Table 1.,Baseline Characteristics of the Households and Individuals With Select and Full Respiratory Virus Screening,,
,"Full Screen (83 Participants,",Select Screen (410,
Characteristic,6 Households),"Participants, 41 Households)",P  Value
"Household size, median (interquartile range)",10.5 (5–15),8 (7–11),.8602
School-going children,21 (25.3),150 (36.6),.049
Male sex,31 (37.4),190 (46.3),.133
Number of specimens per person,,,
0,7 (1.7),3 (3.6),.437
1–9,34 (8.3),5 (6.0),
10–19,18 (4.4),5 (6.0),
20–29,38 (9.3),8 (9.6),
30–39,100 (24.4),14 (16.9),
40–44,140 (34.2),36 (43.4),
45–50,73 (17.8),12 (14.5),
"Age group, ya",,,
<1,10 (12.1),45 (11.0),.467
1–4,16 (19.3),66 (16.1),
5–14,24 (28.9),141 (34.4),
15–39,22 (26.5),125 (30.5),
≥40,11 (13.3),33 (8.1),
Data are presented as No. (%) unless otherwise indicated.,,,
