0,1,2
"Johnson and Wang Virology Journal 2014, 11:4",,Page 12 of 17
http://www.virologyj.com/content/11/1/4,,
Parmjeet Randhawa,David Rodriguez-Lazaro,Rosemary Sang
USA,Spain,Kenya
Eric Rassart,Paulo Roehe,Flavia Santos
Canada,Brazil,Brazil
Luca Rastrelli,Camila Romano,Ricardo Santos
Italy,Brazil,Portugal
Sebastian Rausch,Rachel Roper,Daniel Santos Mansur
Germany,USA,Brazil
Jaana Rautava,Pierre Roques,Anderson Sa-Nunes
Finland,France,Brazil
Jo Lynne Raymond,Rafael Diego Rosa,Maria Saponari
USA,Brazil,Italy
Helena Rebelo-de-Andrade,German Rosas-Acosta,Bruno Sargueil
Portugal,USA,France
Sanjay Reddy,Helene Rosenberg,Giuseppe Sarli
USA,USA,Italy
Richard Reeve,Paul Rota,Jaya Sastri
UK,USA,USA
Udo Reichl,Adib Rowhani,Vijaya Satchidanandam
Germany,USA,India
Ilona Reimann,Raymond Rowland,Christian Sauder
Germany,USA,USA
Xiaofeng Ren,Brent Ryckman,Bertrand Saunier
China,USA,France
Julio Reyes-Leyva,Wi-Sun Ryu,Barry James Saville
Mexico,"Korea, South",Canada
Robert Ricciardi,Evangelista Sagnelli,Hirofumi Sawa
USA,Italy,Japan
Stephen Rice,Abdel Rahman Said,Luis Schang
USA,Egypt,Canada
Juergen Richt,Bruno Sainz,Leonardo Schiavon
USA,Spain,Brazil
Cornelia Richter,Renate Sakate,Horst Schirrmeier
Germany,Brazil,Germany
Julia Ridpath,Nitin Saksena,Mark Schleiss
USA,Australia,USA
Guus Rimmelzwaan,Toshie Sakuma,Scott Schmid
Netherlands,USA,USA
Espen Rimstad,Jun-ichi Sakuragi,Juergen Schneider-Schaulies
Norway,Japan,Germany
Sally Roberts,Siba Samal,Bruce Schoneboom
UK,USA,USA
Fernando Rodriguez,Sweety Samal,David Schriemer
Spain,USA,Canada
