0,1,2,3,4,5,6,7,8,9
Table 2: Pairwise correlations of gene expression in esfenvalerate exposed 10-d old delta smelt.,,,,,,,,,
,Aspartoacylase,Titin a,Microglobulin,Caspase-3,"Parvalbumin
Hemopexin",ZPA,Myozenin,Creatine,PXR
,,,,,,,,Kinase,
Aspartoacylase,1,,,,,,,,
,(0),,,,,,,,
Titin a,0.490 (0.402),1,,,,,,,
,,(0),,,,,,,
Microglobulin,0.576 (0.310),0.954,1,,,,,,
,,(0.012),(0),,,,,,
Caspase-3,0.344 (0.571),0.919,0.921 (0.026),1,,,,,
,,(0.027),,(0),,,,,
Parvalbumin,0.284 (0.644),0.953,0.928 (0.023),0.981,1,,,,
,,(0.012),,(0.003),(0),,,,
Hemopexin,0.629 (0.256),0.819,0.951 (0.013),0.860 (0.061),"0.822 (0.088)
1",,,,
,,(0.090),,,(0),,,,
ZPA,-0.017 (0.979),0.788,0.646 (0.239),0.853 (0.066),"0.871 (0.054)
0.472 (0.422)",1,,,
,,(0.113),,,,(0),,,
Myozenin,0.309 (0.613),0.898,0.949 (0.014),0.909,"0.943 (0.016)
0.892",0.677 (0.210),1,,
,,(0.038),,(0.033),(0.042),,(0),,
Creatine,0.255 (0.679),0.916,0.865 (0.058),0.984,"0.978 (0.004)
0.759 (0.137)",0.932,0.859,1,
Kinase,,(0.029),,(0.003),,(0.021),(0.062),(0),
PXR,0.880,0.087,0.208,-0.113,"-0.153
0.307",-0.475,-0.038,-0.218,1
,(0.049),(0.890),(0.737),(0.857),"(0.805)
(0.616)",(0.418),(0.952),(0.725),(0)
