0,1,2,3,4,5
diseases.,,,,,
Virus Detection,,Any Site* N (%),NS N (%),PT N (%),Ad** N (%)
Single infection,HAdV,5 (4.1),11 (9.1),11 (9.1),14 (11.8)
,HBoV,2 (1.6),3 (2.5),2 (1.6),3 (2.5)
,HRV,10 (8.2),19 (15.7),5 (4.1),10 (8.4)
,HEV,13 (10.7),13 (10.7),33 (27.3),14 (11.8)
,HRSV,2 (1.6),4 (3.3),2 (1.6),4 (3.3)
,HMPV,3 (2.5),3 (2.5),4 (3.3),2 (1.6)
,FLU,1 (0.8),1 (0.8),0 (0.0),1 (0.8)
,HPIV,0 (0.0),2 (1.6),1 (0.8),0 (0.0)
,HCoV,0 (0.0),1 (0.8),0 (0.0),1 (0.8)
,TOTAL,36 (29.7),57 (47.1),58 (47.9),49 (41.1)
"Dual
infection",HAdV + HRV,8 (6.6),9 (7.4),4 (3.3),6 (5.0)
,HAdV + HEV,9 (7.4),1 (0.8),7 (5.8),8 (6.6)
,HBoV + HEV,7 (5.8),2 (1.6),0 (0.0),3 (2.5)
,HEV + HRSV,4 (3.3),0 (0.0),0 (0.0),4 (3.3)
,HBoV + HRV,3 (2.5),1 (0.8),1 (0.8),1 (0.8)
,HAdV + HBoV,2 (1.6),3 (2.5),1 (0.8),3 (2.5)
,HAdV + HRSV,3 (2.5),2 (1.6),0 (0.0),1 (0.8)
,HRV + HMPV,2 (1.6),2 (1.6),2 (1.6),0 (0.0)
,HRV + HCoV,2 (1.6),2 (1.6),0 (0.0),1 (0.8)
,HAdV + HMPV,1 (0.8),0 (0.0),1 (0.8),1 (0.8)
,HBoV + HRSV,1 (0.8),0 (0.0),0 (0.0),1 (0.8)
,HBoV + FLU,1 (0.8),0 (0.0),0 (0.0),1 (0.8)
,HRV + HPIV,1 (0.8),0 (0.0),0 (0.0),0 (0.0)
,HRV + FLU,1 (0.8),1 (0.8),0 (0.0),0 (0.0)
,HEV + HMPV,1 (0.8),1 (0.8),1 (0.8),0 (0.0)
,HEV + HPIV,1 (0.8),0 (0.0),0 (0.0),1 (0.8)
,HMPV + HPIV,0 (0.0),0 (0.0),1 (0.8),0 (0.0)
,HRV + HRSV,0 (0.0),1 (0.8),1 (0.8),0 (0.0)
,HRSV + FLU,0 (0.0),1 (0.8),0 (0.0),0 (0.0)
,TOTAL,47 (38.8),26 (21.5),19 (15.7),31 (26.0)
Triple Infection,HAdV + HBoV + HEV,4 (3.3),2 (1.6),1 (0.8),3 (2.5)
,HAdV + HBoV + HRV,5 (4.1),1 (0.8),0 (0.0),5 (4.2)
,HAdV + HRV + HMPV,6 (4.9),2 (1.6),2 (1.6),3 (2.5)
,HAdV + HEV + HMPV,2 (1.6),1 (0.8),2 (1.6),0 (0.0)
,HAdV + HRV + HRSV,2 (1.6),2 (1.6),0 (0.0),2 (1.6)
,HAdV + HBoV + HRSV,1 (0.8),1 (0.8),0 (0.0),0 (0.0)
,HAdV + HEV + FLU,1 (0.8),1 (0.8),0 (0.0),0 (0.0)
,HAdV + HEV + HPIV,1 (0.8),0 (0.0),0 (0.0),0 (0.0)
,HAdV + HRSV + FLU,1 (0.8),0 (0.0),0 (0.0),0 (0.0)
,HBoV + HRV + HRSV,1 (0.8),0 (0.0),0 (0.0),0 (0.0)
,HBoV + HMPV + HPIV,1 (0.8),0 (0.0),0 (0.0),1 (0.8)
,HEV + HRSV + FLU,1 (0.8),0 (0.0),0 (0.0),0 (0.0)
,HBoV + HRV + HCoV,0 (0.0),1 (0.8),0 (0.0),1 (0.8)
,HBoV + HPIV + FLU,0 (0.0),0 (0.0),0 (0.0),1 (0.8)
,HAdV + HBoV + HMPV,0 (0.0),0 (0.0),0 (0.0),1 (0.8)
,HBoV + HEV + HPIV,0 (0.0),0 (0.0),0 (0.0),1 (0.8)
,HRV + HEV + HRSV,0 (0.0),1 (0.8),0 (0.0),0 (0.0)
,TOTAL,26 (21.5),12 (9.9),5 (4.1),18 (14.8)
