0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,,PFU/mosquito (log10),,,,,,PFU/mosquito (log10),,,,,,PFU/mosquito (log10),
Day Post,Number of,,,,,,Number of Positive,,,,,,Number of Positive,,,
Infection,Positive Mosquitoes,Ay,B,C,D,E,Mosquitoes,A,B,C,D,E,Mosquitoes,A,B,"C
D"
,Culex quinquefasciatus titers post-IT inoculation,,,,,,,,,,,,,,,
0,4/5,2.2,1.7,2.3,0,2,4/5,2,2,2,2.2,0,0/3,0,0,0
1,2/5,0,0,3.9,4.1,0,4/4,1.4,1.4,2.4,1.7,,0/3,0,0,0
2,4/4,4.4,4.4,4.3,5.1,,0/4,0,0,0,0,,0/3,0,0,0
4,3/3,4.7,4.5,4.1,,,0/3,0,0,0,,,0/3,0,0,0
8,3/3,5.4,4.9,4.7,,,1/3,0,0,2.5,,,0/3,0,0,0
10,4/4,4.5,5.2,4.3,5.3,,0/3,0,0,0,,,0/3,0,0,0
12,3/3,3.9,4.4,3.7,,,0/3,0,0,0,,,0/3,0,0,0
14,4/4,3.8,3.7,3.5,3.8,,0/4,0,0,0,0,,0/3,0,0,0
,Aedes aegypti titers post-IT inoculation.,,,,,,,,,,,,,,,
0,2/5,2.4,0,0,0,2.4,0/5,0,0,0,0,0,0/3,0,0,0
1,3/3,2.7,4.3,4.3,,,0/3,0,0,0,,,0/3,0,0,0
2,3/3,4.4,4.6,5.1,,,0/3,0,0,0,,,0/3,0,0,0
4,3/3,3.4,4.4,4.5,,,0/3,0,0,0,,,0/3,0,0,0
8,3/3,5.3,3.8,4.1,,,1/3,2.2,0,0,,,1/3,0,1.4,0
10,3/3,3.7,3.8,3.7,,,1/3,0,0,2.2,,,1/3,1.6,0,0
12,3/3,3.5,3.4,4.3,,,1/3,2.1,0,0,,,1/3,0,1.7,0
14,2/2,3.4,3.4,,,,0/5,0,0,0,0,0,1/3,1.1,0,0
