0,1,2,3,4,5,6
Table 3. Relative risk of,,"infection during in-school and out-of-school sessions, by age group",,,,
,,,"Risk ratio (95% CI), by age category",,,
School session,,,,,,
,0–4 years**,5–17 years**,18–24 years*,25–64 years*,>65 years,All ages**
"Out
for >2 weeks",1,1,1,1,1,1
In for 1 week,1.07 (0.97–1.18),1.12 (0.93–1.34),1.18 (1.06–1.31),1.16 (1.06–1.27),1.11 (0.98–1.26),1.14 (1.04–1.24)
In for 2 weeks,1.12 (1.02–1.24),1.39 (1.15–1.68),1.13 (1.02–1.26),1.11 (1.00–1.22),0.99 (0.86–1.13),1.15 (1.05–1.26)
In for >2 weeks,1.16 (1.06–1.27),1.43 (1.20–1.71),1.07 (0.98–1.16),1.09 (1.00–1.19),0.98 (0.86–1.11),1.15 (1.06–1.26)
"Out
for 1 week",1.07 (0.97–1.17),1.03 (0.85–1.24),1.05 (0.94–1.17),1.02 (0.93–1.12),0.92 (0.81–1.04),1.03 (0.94–1.13)
"Out
for 2 weeks",1.14 (1.03–1.27),1.06 (0.86–1.3),1.03 (0.91–1.17),1.05 (0.95–1.17),0.98 (0.85–1.12),1.07 (0.97–1.18)
Statistically significant,(P < 0.05) risk ratios shown in bold.,,,,,
