0,1,2,3
immunoglobulin [24] and complement [23]. Neutralizing antibody is frequently more,,,
,,TABLE 4,
,Application,of Common Immunodiagnostic Methods,
,Hemagglutination,Complement,
Neutralization,-Inhibition,Fixation,Immunofluorescence
Adenovirus,Adenovirus,Adenovirus,Adenovirus
Herpesvirus,Coronavirus,Coxsackievirus,Herpesvirus
Lymphocytic,Enterovirus,LCMV,LCMV
choriomeningitis,,,
virus (LCMV),,,
Picornavirus,Myxovirus,Myxovirus,Myxovirus
Reovirus,Poxvirus,Poxvirus,Poxvirus
Rhabdovirus,Reovirus,Reovirus,Rhabdovirus
,Togavirus,Rhinovirus,Rubella
,,Togavirus,
