0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Table 4. Diagnostic performance of biomarkers for diagnosis of JD.,,,,,,,,,,,,,,,
Biomarker,,AUC,,,P value,,,Cut-off (fold change),,,Sensitivity (%),,,Speciﬁcity (%),
,PN vs.,NP vs.,PP vs.,PN vs.,NP vs.,PP vs.,PN vs.,NP vs.,PP vs.,PN vs.,NP vs.,PP vs.,PN vs.,NP vs.,PP vs.
,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN,NN
Tfrc,0.909,0.89,0.857,<0.0001,<0.0001,0.0012,>0.94,>0.47,>0.94,75,92.9,71.4,100,72.7,100
Mmp9,0.871,0.76,0.857,<0.0001,0.0102,0.0012,>0.455,>2.73,>2.73,91.7,57.1,71.4,72.7,100,100
S100a8,0.894,0.721,0.896,<0.0001,0.045,<0.0001,>0.829,>-0.095,>0.829,91.7,92.9,85.7,90.9,54.5,90
S100a9,0.693,0.669,0.727,0.11,0.1315,0.1365,>-0.07,>0.511,>0.856,91.7,57.1,57.1,54.5,81.8,100
Serpine1,0.875,0.864,0.883,<0.0001,<0.0001,<0.0001,>0.463,>1.022,>0.372,91.7,78.6,100,72.7,100,72.7
Hp,0.864,0.942,0.883,<0.0001,<0.0001,0.0001,>1.806,>1.806,>1.806,75,92.9,85.7,90.9,90.9,90.9
Timp1,0.985,0.929,0.701,<0.0001,<0.0001,0.1815,>0.682,>0.682,>1.022,100,78.6,42.9,90.9,90.9,100
Defb1,0.955,0.786,0.558,<0.0001,0.0024,0.7681,>0.951,>0.325,>0.325,83.3,64.3,57.1,100,90.9,90.9
Defb10,0.905,0.773,0.831,<0.0001,0.0052,0.0118,>1.154,>1.815,>1.154,83.3,57.1,85.7,90.9,100,90.9
,https://doi.org/10.1371/journal.pone.0178336.t004,,,,,,,,,,,,,,
