0,1,2,3,4,5,6,7,8,9,10
PENTA,2,115.79,7,139.24,8,65.11,7,89.58,4,155.31
TOTAL,47,4.93,181,5.39,64,8.14,103,6.09,92,6.75
size (bp),231580,,974699,,520919,,627039,,621255,
HLA(6 COX),,,,,,,,,,
,,Extended class II,,Classical class II,Class III,,Class I,,Total,
DI,19,12.30,25,35.69,12,54.70,45,46.19,101,38.23
TRI,9,25.96,18,49.57,17,38.61,71,29.28,115,33.57
TETRA,11,21.24,36,24.78,13,50.49,87,23.89,147,26.26
PENTA,5,46.72,3,297.41,3,218.79,15,138.58,26,148.49
TOTAL,44,5.31,82,10.88,45,14.59,218,9.54,389,9.93
size (bp),233622,,892216,,656365,,2078648,,3860851,
