0,1,2,3,4,5,6,7,8,9,10
,"TABLE 1 | Molecular results for three sites in the emergency department at Duke University Hospital, October 2017 to February 2018.",,,,,,,,,
Sample ID,Date,Site,FluA,FluB,FluC,FluD,AdV,PanAdV,CoV,PanCoV
DM-BS013,10/4/2017,North,–,–,–,–,–,–,–,–
DM-BS014,10/4/2017,South,–,–,–,–,–,–,–,–
DM-BS015,10/4/2017,Triage 1,–,–,–,–,–,–,–,–
DM-BS016,10/10/2017,South,–,–,–,–,–,–,–,–
DM-BS017,10/10/2017,North,–,–,–,–,–,–,–,–
DM-BS018,10/10/2017,Triage 1,–,–,–,–,–,–,–,–
DM-BS019,10/17/2017,North,–,–,–,–,–,–,–,–
DM-BS020,10/17/2017,South,–,–,–,–,–,–,–,–
DM-BS021,10/17/2017,Triage 1,–,–,–,–,–,–,–,–
DM-BS022,10/24/2017,North,–,–,–,–,+,–,–,–
DM-BS023,10/24/2017,South,–,–,–,–,+,–,–,–
DM-BS024,10/24/2017,Triage 1,–,–,–,–,+,–,–,–
DM-BS025,10/31/2017,North,–,–,–,–,+,–,–,–
DM-BS026,10/31/2017,South,–,–,–,–,+,–,–,–
DM-BS027,10/31/2017,Triage 1,–,–,–,–,–,–,–,–
DM-BS028,11/7/2017,South,–,–,–,–,–,–,–,–
DM-BS029,11/7/2017,North,–,–,–,–,–,–,–,–
DM-BS030,11/7/2017,Triage 2,–,–,–,–,–,–,–,-
DM-BS031,11/14/2017,North,–,–,–,–,–,–,–,–
DM-BS032,11/14/2017,Triage 3,–,–,–,+,–,–,–,–
DM-BS033,11/14/2017,South,–,–,–,–,–,–,–,–
DM-BS034,11/21/2017,North,–,–,–,–,+,–,–,–
DM-BS035,11/21/2017,South,–,–,–,–,–,–,–,–
DM-BS036,11/21/2017,Triage 2,–,–,–,–,–,–,–,–
DM-BS037,11/28/2017,North,–,–,–,–,+,–,–,–
DM-BS038,11/28/2017,South,–,–,–,–,–,–,–,–
DM-BS039,11/28/2017,Triage 1,–,–,–,–,–,–,–,–
DM-BS040,1/25/2018,Triage 2,–,–,–,–,–,–,–,–
DM-BS041,1/25/2018,North,–,–,–,–,–,–,–,–
DM-BS042,1/25/2018,South,–,–,–,–,–,–,–,–
DM-BS043,2/1/2018,Triage 1,–,–,–,–,+,–,–,–
DM-BS044,2/1/2018,South,–,–,–,–,–,–,–,–
DM-BS045,2/1/2018,North,–,–,–,–,–,–,–,–
DM-BS046,2/8/2018,South,–,–,–,–,–,–,–,–
DM-BS047,2/8/2018,North,–,–,–,–,+,–,–,–
DM-BS048,2/8/2018,Triage 2,–,–,–,–,–,–,–,–
DM-BS049,2/15/2018,North,–,–,–,–,–,–,–,–
DM-BS050,2/15/2018,South,–,–,–,–,+,–,–,–
DM-BS051,2/15/2018,Triage 2,–,–,–,–,–,–,–,–
DM-BS052,2/22/2018,North,–,–,–,–,–,–,–,–
DM-BS053,2/22/2018,South,+,–,–,–,–,–,–,–
DM-BS054,2/22/2018,Triage 2,–,–,–,–,–,–,–,–
DM-BS055,3/1/2018,South,–,–,–,–,–,–,–,–
DM-BS056,3/1/2018,North,–,–,–,–,–,–,–,–
DM-BS057,3/1/2018,Triage 2,–,–,–,–,–,–,–,–
