0,1,2,3,4,5,6,7,8,9,10
,TABLE 5 | Expression stability ranking of the 10 candidate reference genes.,,,,,,,,,
Method/Rank,1,2,3,4,5,6,7,8,9,10
MeJA-TREATMENT,,,,,,,,,,
Recommended comprehensive ranking,18S,EFa,UBQ,CYP,UBC,ACT,MDH,TUBa,TUBb,GAPDH
GeNorm,CYP/UBQ,,UBC,18S,EFa,ACT,MDH,TUBa,TUBb,GAPDH
NormFinder,18S,EFa,UBC,CYP,UBQ,ACT,MDH,TUBa,TUBb,GAPDH
Bestkeeper,18S,UBQ,CYP,UBC,MDH,ACT,EFa,TUBa,GAPDH,TUBb
ABA-TREATMENT,,,,,,,,,,
Recommended comprehensive ranking,MDH,UBQ,TUBa,GAPDH,EFa,CYP,18S,ACT,UBC,TUBb
GeNorm,MDH/TUBa,,GAPDH,UBQ,EFa,CYP,18S,ACT,UBC,TUBb
NormFinder,MDH,GAPDH,TUBa,CYP,UBQ,EFa,18S,ACT,UBC,TUBb
Bestkeeper,MDH,UBQ,TUBa,18S,EFa,CYP,ACT,UBC,GAPDH,TUBb
UV-TREATMENT,,,,,,,,,,
Recommended comprehensive ranking,CYP,MDH,GAPDH,ACT,UBQ,18S,EFa,UBC,TUBb,TUBa
GeNorm,CYP/MDH,,GAPDH,ACT,UBQ,18S,EFa,UBC,TUBb,TUBa
NormFinder,CYP,MDH,GAPDH,ACT,UBQ,18S,EFa,UBC,TUBb,TUBa
Bestkeeper,18S,EFa,ACT,UBQ,UBC,MDH,CYP,TUBa,TUBb,GAPDH
DIFFERENT ORGANS,,,,,,,,,,
Recommended comprehensive ranking,UBC,18S,CYP,EFa,TUBb,UBQ,MDH,GAPDH,ACT,TUBa
GeNorm,18S/TUBb,,UBQ,GAPDH,EFa,UBC,CYP,MDH,ACT,TUBa
NormFinder,UBC,EFa,18S,CYP,MDH,UBQ,TUBb,GAPDH,ACT,TUBa
Bestkeeper,18S,TUBb,CYP,MDH,EFa,TUBa,UBQ,UBC,ACT,GAPDH
"MeJA, ABA,UV-TREATMENT",,,,,,,,,,
Recommended comprehensive ranking,18S,UBQ,ACT,EFa,TUBa,MDH,CYP,GAPDH,TUBb,UBC
GeNorm,18S/EFa,,UBQ,CYP,UBC,ACT,MDH,TUBa,TUBb,GAPDH
NormFinder,EFa,UBQ,18S,GAPDH,ACT,CYP,TUBb,UBC,MDH,TUBa
Bestkeeper,18S,ACT,TUBa,UBQ,MDH,EFa,CYP,GAPDH,TUBb,UBC
ALL SAMPLES,,,,,,,,,,
Recommended comprehensive ranking,18S,UBQ,EFa,ACT,TUBa,MDH,TUBb,CYP,UBC,GAPDH
GeNorm,18S/EFa,,ACT,MDH,TUBa,TUBb,UBQ,CYP,UBC,GAPDH
NormFinder,UBQ,18S,EFa,GAPDH,ACT,CYP,TUBb,MDH,TUBa,UBC
Bestkeeper,18S,ACT,TUBa,UBQ,MDH,EFa,TUBb,CYP,UBC,GAPDH
