0,1,2,3,4,5,6,7,8,9,10
242,,,,,,,,,Infect Dis Ther,(2018) 7:235–247
Table 1 Results of practical hand wash test with Escherichia coli according to EN1499,,,,,,,,,,
Test parameter,,,Reference soft soap,,PVP-I,,,CHG,,
Product,Contact,Pre-,Post-,Log10,Pre-,Post,Log10,Pre-,Post-,Log10
volume,time (s),value,value,reductiona,value,value,reductiona,value,value,reductiona
3 mL,15,6.05,3.24,2.80,5.99,1.90,4.09b,6.03,0.81,5.22b
,30,5.93,3.10,2.83,5.94,1.45,4.48b,5.95,0.86,5.09b
,60,5.82,2.96,2.86,5.91,1.12,4.97b,6.00,0.86,5.14b
5 mL,15,6.02,2.90,3.11,5.93,1.71,4.22b,6.00,1.87,4.12b
,30,5.89,3.14,2.75,5.81,1.49,4.32b,5.97,1.64,4.33b
,60,5.96,3.05,2.91,5.94,0.67,5.27b,5.86,1.23,4.63b
