0,1,2,3,4
,Table 2 Respiratory viruses in nasopharyngeal swab detected in participants at,,the beginning and at,the end of the study
,"NH residents, healthy",NH residents with ARI,"NH staff, healthy",NH staff with ARI
Beginning of study,89,1,33,9
Positive PCR (%),9d (10.1),0,3d (9.1),2 (22.2)
Negative PCR (%),80 (89.9),1 (100),30 (90.9),7 (77.8)
End of study,73,4,39,2
Positive PCR (%),3e (4.1),0,2d (5.1),1d (50)
Negative PCR (%),70 (95.9),4 (100),37 (94.9),1 (50)
Total,162,5,72,11
Positive PCR (%),12 (7.4),0 (0),5 (6.9),3 (27.3)
Negative PCR (%),150 (92.6),5 (100),67 (93.1),8 (72.7)
"dRhinoviruses/enteroviruses, hRV/EV",,,,
