0,1,2
,Social Capital and Behavioral Intentions in an Influenza Pandemic,
,"Table 2. Association between social capital, sociodemographic factors, risk perception, and the in-",
tention to receive vaccination.,,
Variables,OR (95% CI)a,AOR (95% CI)b
Sociodemographic factors risk perception,,
Gender,,
Female,1,1
Male,1.45 (1.16–1.83)**,1.41 (1.11–1.80)**
Age,,
20–34,1,1
35–49,0.71 (0.52–0.96)*,0.70 (0.49–1.01)
50–64,0.73 (0.54–0.99)*,0.76 (0.50–1.13)
(cid:1) 65,0.71 (0.54–1.02),0.93 (0.58–1.51)
Monthly household income,,
"< NT$50,000",1,1
"NT$50,000–89,999",1.69 (1.24–2.31)**,1.50 (1.07–2.11)*
"NT$90,000–179,999",1.80 (1.29–2.53)**,1.60 (1.09–2.34)*
"(cid:1) NT$180,000",1.51 (1.09–2.08)*,1.40 (1.00–1.97)*
Missing,3.07 (1.54–6.12)**,2.50 (1.21–5.16)*
Education,,
High school graduates,1,1
Some college,1.59 (1.17–2.17)**,1.64 (1.15–2.35)**
College graduates,1.83 (1.39–2.40)**,1.62 (1.19–2.34)*
Marital status,,
Others,1,1
Married,0.99 (0.79–1.26),1.12 (0.84–1.50)
Locality,,
Urban,1,1
Suburban,0.82 (0.64–1.04),0.86 (0.66–1.12)
Rural,1.05 (0.72–1.53),1.18 (0.79–1.77)
Self-rated health,,
Poor,1,1
Good,0.94 (0.74–1.19),0.79 (0.61–1.01)
Perceived susceptibility,,
Low,1,1
High,1.58 (1.13–2.20)**,1.44 (1.02–2.03)*
Perceived severity,,
Low,1,1
High,2.20 (1.60–3.02)**,2.29 (1.63–3.21)**
Bonding social capital,,
Neighborhood support,1.17 (1.05–1.31)**,1.19 (1.05–1.34)**
Bridging social capital,,
Association membership,,
No,1,1
Yes,1.13 (0.89–1.43),1.10 (0.85–1.41)
Linking social capital,,
General government trust,1.39 (1.21–1.60)**,1.35 (1.16–1.57)**
Trust in government’s capacity to handle an inﬂuenza pandemic,1.09 (0.94–1.25),0.98 (0.84–1.15)
