0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
,,,,,,,,,,,,,,,,,,,,,,Epidemiology of severe acute respiratory infections in Madagascar,,,,
"Strepto
10",2,1,0,0,0,7,1,3,2,1,0,4,0,0,"3
6",6,15,8,1,0,0,30,,,,
"Hib
17",6,0,2,0,0,31,5,11,2,2,2,6,4,35,11,11,26,29,11,1,1,79,,,,
"S.pneumoniae
40",16,6,5,0,0,68,12,36,2,2,3,20,13,29,-,29,84,51,17,4,1,186,,,,
"BOV
8",4,2,1,0,0,15,0,13,1,1,1,7,6,-,-,6,11,14,6,2,1,40,,,,
"ADV
12",4,2,1,0,0,25,0,16,2,0,0,17,-,-,-,17,35,15,7,2,1,77,,,,
"PIV3
2",0,0,0,0,0,0,0,1,0,0,2,-,-,-,-,2,6,0,1,0,0,9,,,,
"PIV2
0",0,3,0,0,0,1,1,3,0,4,-,-,-,-,-,4,3,4,1,0,0,12,,,,
"PIV1
0",0,0,0,0,0,1,2,1,2,-,-,-,-,-,-,2,4,3,1,0,0,10,,,,
"RV
17",5,2,3,0,1,37,2,33,-,-,-,-,-,-,-,33,50,27,13,2,0,125,,,,
"HMPV
6",1,1,0,0,0,3,9,-,-,-,-,-,-,-,-,9,14,10,0,0,0,33,,,,
,,,,,,,,,,,,,,,,,,47,16,4,0,,,,,
"RSV
54",12,7,6,1,0,171,,-,-,-,-,-,-,-,-,171,110,,,,,348,FLUA:InfluenzavirusA;FLUB:InfluenzavirusB;COV:Coronavirus;RSV:Respiratorysyncytialvirus;HMPV:Humanmetapneumovirus;RV:Rhinovirus;PIV:Parainfluenzavirus;ADV:,,,
"COV-HKU1
0",0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,1,1,0,0,0,0,2,,,,
"Table3.EtiologicalagentsandmultipleinfectionsamongpatientshospitalizedforSARI,Madagascar,November2010toJuly2013.
COV-229E
1",0,0,0,2,-,-,-,-,-,-,-,-,-,-,-,2,2,0,0,0,0,4,,Adenovirus;BOV:Bocavirus;S.pneumoniae:Streptococcuspneumoniae;Hib:Haemophilusinfluenzaetypeb;Strepto:Streptococcus.,,
"COV-NL63
1",2,1,3,-,-,-,-,-,-,-,-,-,-,-,-,3,6,3,2,1,0,15,,,,
"COV-OC43
3",0,3,-,-,-,-,-,-,-,-,-,-,-,-,-,3,11,5,1,1,0,21,,,,
"FLUB
17",22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,15,13,5,2,1,58,,,,
"FLUA
47",-,"COV-OC43
-","COV-NL63
-","COV-229E
-","COV-HKU1
-",-,-,-,-,-,-,-,-,"S.pneumoniae
-","Strepto�
-","47
Monoinfection","73
2pathogens","38
3pathogens","10
4pathogens","5pathogens
1","6pathogens
1",170,,,�:otherspeciesofStreptococcus.,https://doi.org/10.1371/journal.pone.0205124.t003
FLUA,"FLUB
PLOS ONE | https://doi.org/10.1371/journal.pone.0205124",,,,,RSV,HMPV,RV,PIV1,PIV2,PIV3,ADV,BOV,,"Hib
November 21, 2018",,,,,,,Total,,,,8 / 17
