0,1,2,3,4,5,6
,,Table 2. Summary of literature data regarding the anticancer property of PMNPs.,,,,
Resource,Polysaccharides,Metals,Diameter (nm),Shape,Cancer types,References
,Galactoxyloglucan,,,,,
Tamarindus indica,,Au,20.0,Spherical,"Murine cancer cells (DLA, EAC)",[109]
,polysaccharides,,,,,
Musa paradisiaca/,,,,,Human breast adenocarcinoma cells,
,Pectin,Au,8.0,Spherical,,[110]
Ganoderma lucidum,,,,,(MCF-7/MDA-MB-231),
,Polysaccharides,,,,"Breast cancer cells (MCF7), Leukemia cells",
Tamarindus indica,,Au,15.0–20.0,Circular,,[111]
,PST001,,,,(K562),
,Fucoidan-mimetic,,,,,
-,,Au,20.0–55.0,Spherical,Human colon cancer cells (HCT116),[112]
,glycopolymer,,,,,
Sargassum muticum,Aqueous extract,Fe3O4,-,-,"HepG2, MCF-7, HeLa, Jurkat",[116]
,Polysaccharide–protein,,,,,
Polyporus rhinocerus,,Se,50.0,Spherical,Human lung adenocarcinoma cells (A549),[117]
,complexes,,,,,
,Sulfated,,,,Breast cancer cells (MCF7),
Halomonas maura,,Au,70.0–107.0,Quasi-spherical,,[118]
,exopolysaccharides,,,,Glioma cells (GI-1),
,,,,,Human breast adenocarcinoma cells,
-,Gum arabic,Au,0.9–2.3,Spherical,,[119]
,,,,,(MDA-MB-231),
Leuconostoc spp.,Dextran,Au,49.0,Spherical,Ehrlich ascites carcinoma (in vivo),[120]
-,Chitosan,Ag,5.0–15.0,Spherical,"A549, HepG2, Lu, KB, MCF-7","[23,121]"
Chlorella vulgaris,,,,,,
,Polysaccharides,Pt,18.0–38.0,Quasi-spherical,Ovarian cancer A2780,[122]
LARG-3,,,,,,
Lentinus edodes,Lentinan,Se,28.0,Spherical,Human cervix carcinoma cells (HeLa),[123]
,,,,,Heps solid tumor,
-,Hyaluronic acid,Se,66.8,Spherical,,[124]
,,,,,(in vivo),
Undaria pinnatiﬁda,Polysaccharides,Se,59.0,Spherical,Human melanoma cells (A375),[125]
Spirulina,Polysaccharides,Se,20.0–50.0,Spherical,Human melanoma cells (A375),[126]
,Polysaccharide–protein,,,,,
Pleurotus tuber-regium,,Se,44.0–220.0,Spherical,Human breast carcinoma (MCF-7),[127]
,complexes,,,,,
