0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,,,,,,,,,,,,,,,,,,ding
,,,,,,,,,,,,,,,,,,titer
,,,,,,,,,,,,,,,,,,(log10
,,,,,,,,,,,,,,,,,,GE/pig)
A,7; 0; 1,3; NA,,Iowa106 (P0);,"100 (6/6)
0 (0/5)",11.24,"1.80a,b",1,1.80,0.45b,4.20,"0.84c
7.00","0.71a,b",NA,NA,0,0,9.46
,,,,,,,±,,,±,±,,±,,,,,
,,,,"12; F&T 2
,",,,,,,,,,,,,,,
,,,,×,,,,,,,,,,,,,,
,,,,filtrated,,,,,,,,,,,,,,
B,14; 3; 1,3; 1.67,0.31b,Iowa106 (P1);,100 (10/10) 75 (6/8),11.08,0.05b,2,4.67,0.58a,6.33,"0.57a,b 8.33",1.53a,6.75,"1.71a
0.28 
 0.16c",4,4,11.08
,,,±,,,,±,,,±,±,,±,±,"−
±",,,
,,,,"10; F&T 1
,",,,,,,,,,,,,,,
,,,,×,,,,,,,,,,,,,,
C,12; 1; 1,4; 1.8,0.10b,Iowa106 (P1);,100 (10/10) 0 (0/10),12.67,0.48a,2,4.00,1.11a,5.78,"0.97b
6.56",0.73b,1.11,"0.93c
0.1 
 0.20c",1,2,11.60
,,±,,,,,±,,,±,±,,±,±,"−
±",,,
,,,,12; F&T 2,,,,,,,,,,,,,,
,,,,×,,,,,,,,,,,,,,
D,11; 0; 1,4; 2.2,0.30a,Iowa106 (P1);,100 (10/10) 0 (0/10),12.17,0.47a,2–3,1.56,0.73b,3.44,"1.01c
6.00",1.41b,0.00,"0.00d 0.5 
 0.30b",0,0,9.40
,,±,,,,,±,,,±,±,,±,±,±,,,
,,,,12; F&T 2,,,,,,,,,,,,,,
,,,,×,,,,,,,,,,,,,,
E,13; 2; 0,4; 1.60,0.42b,PC21A (P2); 10;,100 (11/11) 55 (6/11),11.80,0.89a,1,5.25,0.96a,7.20,"0.45 a
8.25",1.26a,3.22,"2.17b 0.03 
 0.31c",2,5,9.67
,,,±,,,,±,,,±,±,,±,±,±,,,
,,,,F&T 1,,,,,,,,,,,,,,
,,,,×,,,,,,,,,,,,,,
F,10; 2; 1,4; 1.80,0.16b,Mock,"0 (0/7)
0 (0/7)",ND,,ND,0.00,0.00c,0.00,"0.00d
0.00",0.00c,0.00,"0.00d 0.95 
 0.16a",0,0,ND
,,,±,,,,,,,±,±,,±,±,±,,,
,"dpi, days post-inoculation; RS, rectal swab; ND, not detectable; NA, not available; GE, genomic equivalents; F&T, frozen and thaw (once 1x, twice 2x); P1, passage level 1; P2, passage level 2; filtrated, filtrated through",,,,,,,,,,,,,,,,,
