0,1,2,3,4,5,6,7,8,9,10,11
,A/H1N1,A/H3N2,B/Yamagata,B/Victoria,RSV,Coronavirusb,Metapneumovirus,Parainfluenza,Rhinovirus,Coinfectionsc,detected
Characteristic,(n=41),(n=181),(n=93),(n=82),(n=77),(n=85),(n=38),(n=28),(n=72),(n=45),(n=282)
Season,,,,,,,,,,,
2012- 2013,0,68 (38),55 (59),80 (98),19 (25),28 (33),3 (8),4 (14),14 (19),9 (20),67 (24)
2013- 2014,41 (100),12 (7),0,0,16 (21),23 (27),26 (68),3 (11),26 (36),16 (36),100 (35)
2014- 2015,0,101 (56),38 (41),2 (2),42 (55),34 (40),9 (24),21 (75),32 (44),20 (44),115 (41)
"Age, years",,,,,,,,,,,
5- 8,20 (49),71 (39),38 (41),47 (57),40 (52),27 (32),25 (66),12 (43),32 (44),34 (76),82 (29)
9- 17,21 (51),110 (61),55 (59),35 (43),37 (48),58 (68),13 (34),16 (57),40 (56),11 (24),200 (71)
Sex (male),23 (56),89 (49),53 (57),45 (55),39 (51),40 (47),19 (50),11 (39),37 (51),31 (69),154 (55)
Race/ethnicityd,,,,,,,,,,,
White,36 (88),168 (92),84 (91),69 (84),66 (86),79 (93),34 (89),26 (93),66 (92),40 (89),248 (88)
Hispanic,2 (5),4 (2),5 (5),6 (7),5 (6),3 (4),1 (3),1 (4),3 (4),1 (2),18 (6)
Other,3 (7),9 (5),3 (3),7 (9),6 (8),3 (4),3 (8),1 (4),3 (4),4 (9),15 (5)
Reported general health status,,,,,,,,,,,
Excellent,26 (63),110 (61),50 (54),47 (57),53 (69),44 (52),23 (61),14 (50),34 (47),26 (58),155 (55)
Very good/good,14 (34),68 (38),42 (45),34 (41),23 (30),41 (48),15 (39),14 (50),35 (49),19 (42),122 (43)
Fair/poor,1 (2),3 (2),1 (1),1 (1),1 (1),0,0,0,3 (4),0,5 (2)
Vaccinatede,15 (37),81 (45),12 (13),32 (39),39 (51),38 (45),24 (63),11 (39),29 (40),19 (42),127 (45)
Received IIVf,5 (33),59 (74),10 (83),27 (84),27 (69),22 (61),16 (67),10 (91),23 (79),13 (68),81 (65)
Received LAIVf,10 (67),21 (26),2 (17),5 (16),12 (31),14 (39),8 (33),1 (9),6 (21),6 (32),44 (35)
Time of seasong,,,,,,,,,,,
Pre- peak influenza,3 (7),13 (7),18 (19),17 (21),0,3 (4),0,2 (7),2 (3),2 (4),22 (8)
weeks,,,,,,,,,,,
Peak influenza weeks,28 (68),65 (36),26 (28),51 (62),11 (14),23 (27),1 (3),10 (36),13 (18),4 (9),63 (22)
Post- peak influenza,10 (24),103 (57),46 (53),14 (17),66 (86),59 (69),37 (97),16 (57),57 (79),39 (87),197 (70)
weeks,,,,,,,,,,,
Symptoms,,,,,,,,,,,
Fatigue,37 (90),174 (96),86 (92),78 (95),66 (86),71 (83),35 (92),25 (89),60 (83),35 (78),233 (83)
Fever,38 (93),161 (89),85 (91),78 (95),50 (65),45 (53),22 (58),17 (61),35 (49),25 (56),161 (57)
Nasal congestion,35 (85),154 (85),73 (78),75 (91),66 (86),73 (86),29 (76),20 (71),64 (89),41 (91),208 (74)
Shortness of breath,11 (27),70 (39),42 (45),32 (39),26 (34),32 (38),11 (29),18 (64),23 (32),11 (24),90 (32)
Sore throat,34 (83),130 (72),79 (85),55 (67),54 (70),66 (78),24 (63),25 (89),59 (82),32 (71),224 (79)
Wheezing,14 (34),56 (31),26 (28),28 (34),22 (29),22 (26),13 (34),9 (32),23 (32),14 (30),53 (19)
Median duration of,"6 (5, 9)","6 (4.5, 9)","7 (6, 9)","7 (6, 9)","7 (5, 9)","5 (4, 8)","6 (5, 8)","5 (1, 9)","6 (4, 8.5)","6 (5, 8)","6 (4, 8)"
