0,1,2,3,4,5,6
,Table 1. Serological ﬁndings of 18 cattle herds with respiratory problems.,,,,,
,No. calves,,,,,
,,PIV3,BCV,BRSV,BAV3,BAV7
,(herds),,,,,
No. of herds positive,18,18,16,12,15,18
Percentage of positive herds,100,100,89,67,83,100
No. of diseased,90 (18),66 (18),35 (15),8 (6),46 (13),65 (17)
"calves,1 ﬁrst sampling",,73%2,38%,9%,51%,72%
"No. of diseased calves,1",86 (18),58 (17),30 (15),5 (5),44 (11),72 (17)
second sampling,,67%,35%,6%,51%,84%
No. of other animals1,169 (18),150 (18),57 (14),18 (9),107 (15),143 (18)
,,89%,34%,11%,63%,85%
Rise in titre1,86 (18),3 (2),4 (3),0 (0),11 (5),20 (10)
,,3.5%,4.7%,0%,12.8%,23.3%
Decrease in titre1,86 (18),9 (7),8 (6),3 (2),23 (10),20 (8)
,,10.5%,9.3%,3.5%,26.7%,23.3%
