0,1,2,3,4,5
"Li et al. BMC Infectious Diseases 2014, 14:4",,,,,Page 11 of 14
http://www.biomedcentral.com/1471-2334/14/4,,,,,
,Table 8 Multivariate regression analysis of the impact of various factors on willingness to accept H7N9 vaccine,,,,
Independent variables,B,SE,P,OR,95% CI for OR
Sex,,,,,
Female,-,-,-,1.00,-
Male,0.10,0.16,0.54,1.11,0.80-1.51
Education level,,,,,
Lower than college graduate,-,-,-,1.00,-
College graduate and higher,−0.14,0.15,0.36,0.87,0.64-1.17
Living area,,,,,
"Suburban or
rural",-,-,-,1.00,-
Downtown,0.03,0.15,0.86,1.03,0.76-1.38
"Annual
income",,,,,
"≤$6,000",-,-,-,1.00,-
">$6,000",0.22,0.15,0.13,1.25,0.93-1.67
Age,,,,,
>40 years,-,-,-,1.00,-
25-40 years,−0.10,0.36,0.79,0.91,0.44-1.84
<25 years,0.03,0.18,0.85,1.03,0.72-1.47
Place of birth,,,,,
Others,-,-,-,1.00,-
Guangzhou,0.04,0.22,0.73,1.04,0.96-1.71
Marital status,,,,,
Single,-,-,-,1.00,-
Married/once married,0.11,0.31,0.52,1.11,0.86-1.58
Received influenza vaccine in recent 3 years,,,,,
No,-,-,-,1.00,-
Yes,0.68,0.18,0.00*,1.97,1.38-2.78
Worry about being infected with H7N9,,,,,
No worry,-,-,-,1.00,-
Not to matter,−0.24,0.34,0.48,0.79,0.40-1.52
Worry,0.73,0.18,0.00*,2.06,1.45-2.94
More worry,1.02,0.23,0.00*,2.78,1.78-4.33
Very worry,1.28,0.26,0.00*,3.58,2.15-5.95
Constant,0.82,0.21,0.00*,-,-
"CI = Confidence Intervals, OR = Odds Ratio.",,,,,
