0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Table 2.,,Incidence of inﬂuenza-like illness or upper respiratory illness (URI) among Royal Thai Army recruits by week of basic training May 2012 to,,,,,,,,,,,,
November 2013,,,,,,,,,,,,,,
,Class 1 (May 2012),,,Class 2 (November 2012),,,,Class 3 (May 2013),,,,Class 4 (November 2013),,
,Training week,n = 122,pct,Week,n = 113,pct,,Week,n = 105,pct,,Week,n = 105,pct
1,6 May 2012,–,–,4 November 2012,–,,–,5 May 2013,–,,–,3 November 2013,–,–
2,13 May 2012,22,18,11 November 2012,–,,–,12 May 2013,–,,–,10 November 2013,–,–
3,20 May 2012,6,4(cid:1)9,18 November 2012,16,,14(cid:1)2,19 May 2013,–,,–,17 November 2013,–,–
4,27 May 2012,5,4(cid:1)1,25 November 2012,10,,8(cid:1)8,26 May 2013,0,,0,24 November 2013,11,10(cid:1)5
5,3 June 2012,0,0,2 December 2012,0,,0,2 June 2013,8,,7(cid:1)6,1 December 2013,0,0
6,10 June 2012,0,0,9 December 2012,0,,0,9 June 2013,21,,20,8 December 2013,9,8(cid:1)6
7,17 June 2012,23,18(cid:1)9,16 December 2012,29,,25(cid:1)7,16 June 2013,0,,0,15 December 2013,0,0
8,24 June 2012,0,0,23 December 2012,0,,0,23 June 2013,0,,0,22 December 2013,23,21(cid:1)9
9,1 July 2012,21,17(cid:1)2,30 December 2012,0,,0,30 June 2013,0,,0,29 December 2013,0,0
10,8 July 2012,0,0,6 January 2013,0,,0,7 July 2013,0,,0,5 January 2014,0,0
11,15 July 2012,2*,1(cid:1)6,13 January 2013,0,,0,–,–,,–,12 January 2014,0,0
12,–,–,–,–,–,,–,–,–,,–,19 January 2014,0,0
Total,–,77,–,–,55,,–,–,29,,–,–,43,–
P-for-trend 1**,Weeks 2–10,,0(cid:1)170,Weeks 3–10,,,<0(cid:1)0001,Weeks 4–9,,,0(cid:1)012,Weeks 4–11,,0(cid:1)006
P-for-trend 2***,Weeks 2–11,,0(cid:1)016,Weeks 3–11,,,<0(cid:1)0001,Weeks 4–11,,,<0(cid:1)001,Weeks 4–12,,<0(cid:1)001
