0,1,2,3,4
Table 2 Responders’ Demographics,,,,
,"Total
(N = 352)",Yong Loo Lin,Lee Kong Chian,Alice Lee Centre
,,School of Medicine,School of Medicine,for Nursing Studies
,,"(YLLSoM)
(n = 244)","(LKCMedicine)
(n = 37)","(ALCNS)
(n = 71)"
"Age, mean (standard deviation)",19.0 (0.8),18.8 (0.7),19.6 (0.8),19.5 (1.1)
"Gender, n (%)",,,,
Male,134 (38.1 %),100 (41.0 %),26 (70.3 %),8 (11.3 %)
Female,218 (61.9 %),144 (59.0 %),11 (29.7 %),63 (88.7 %)
"Ethnicity, n (%)",,,,
Chinese,315 (89.5 %),222 (91.0 %),35 (94.6 %),58 (81.7 %)
Malay,11 (3.1 %),3 (1.2 %),0,8 (11.3 %)
Indian,19 (5.4 %),14 (5.7 %),1 (2.7 %),4 (5.6 %)
Others,7 (2.0 %),5 (2.0 %),1 (2.7 %),1 (1.4 %)
"Year of study, n (%)",,,,
1st,347 (99.7 %),242 (100.0 %),37 (100.0 %),68 (98.6 %)
2nd,1 (0.3 %),0,0,1 (1.4 %)
"First exposure to inter-professional education, n (%)",,,,
Yes,313 (89.4 %),216 (88.9 %),31 (86.1 %),66 (93.0)
No,37 (10.6 %),27 (11.1 %),5 (13.9 %),5 (7.0 %)
aNumbers may not add up to total because of missing responses,,,,
