0,1,2,3,4,5
"group, respectively).",,and,,"group,","respectively.  Hence, 
the 
dams"
,,,PWD−,,
,Table 2  Bacteria isolated from mink mammary tissue and intestines of their respective kits,,,,
Farm ID,Female ID,Isolate from mammary tissue,,Diarrhea,Isolates from kits  intestinesa
2,1,Staphylococcus intermedius group,,,Not conducted
,,,,−,
4,2,Staphylococcus intermedius group,,,Unspecific mixture
,,,,−,
4,3,Staphylococcus lentus,,,Non-hem. Escherichia coli
,,,,+,
4,4,Micrococcus luteus,,,Non-hem. Escherichia coli
,,,,+,
12,5,Staphylococcus lentus,,,Non-hem. Escherichia coli
,,,,+,
13,6,Staphylococcus aureus,,,Overgrowth of Proteus spp.
,,,,+,
19,7,Staphylococcus intermedius group,,,Not conducted
,,,,−,
25,8,Enterococcus hirae,,,Hemolytic Escherichia coli
,,,,+,
28,9,Staphylococcus intermedius group,,,Enterococcus hirae
,,,,+,
,Types of bacteria isolated by aerobic cultivation from mink dam mammary tissue (n,,9) and from intestines of their respective mink kits,,
