0,1,2,3
Total,140,49,91
Age of onset,,,
<3 months,77 (55.0),27 (55.1),50 (54.9)
4 months–9 years,62 (44.3),21 (42.9),41 (45.1)
≥10 years,1 (0.7),1 (2.0),0
Gender,,,
Male,80 (57.14),23 (46.9),57 (62.6)
Female,60 (42.86),26 (53.1),34 (37.4)
Underlying diseases,,,
None,96 (68.6),41 (83.7),55 (60.4)
CHD,40 (28.6),7 (14.3),33 (36.3)
Congenital biliary atresia,1 (0.7),0,1 (1.1)
Tumor,1 (0.7),1 (2.0),0
Other diseases,2 (1.4),0,2b (2.2)
Contact history,,,
Yes,28 (20.00),19 (38.8),9 (9.9)
No,112 (80.00),30 (61.2),82 (90.1)
Prognosis after treat,,,
Alive,135 (96.43),47 (95.9),88 (96.7)
Death,5 (3.57),2b (4.1),3b (3.3)
DPT (dose),,,
