0,1,2,3,4,5,6
Table 3.,Frequency of Subsequent ARI Cases With At-Risk Children Stratified by Age in Households With 1st RSV-ARI + Single RSV-ARI,,,,,
1st RSV-ARI + Single RSV-ARI,,At-Risk Children,,,Subsequent ARI,
Age Group,No.,Age Group,No.,2nd RSV-ARI (%),Subsequent ARI (%),Total Subsequent ARI (%)
<6 months old,33,<6 months old,1,0,0,0
,,6–11 months old,0,0,0,0
,,1 year old,5,0,0,0
,,2–4 years old,36,2 (5.6),3 (8.3),5 (13.9)
,,Subtotal,42,2 (4.8),3 (7.1),5 (11.9)
6–11 months old,29,<6 months old,0,0,0,0
,,6–11 months old,0,0,0,0
,,1 year old,2,1 (50),1 (50),2 (100)
,,2–4 years old,34,3 (8.8),2 (5.9),5 (14.7)
,,Subtotal,36,4 (11.1),3 (8.3),7 (19.4)
1 year old,58,<6 months old,4,2 (50),2 (50),4 (100)
,,6–11 months old,4,2 (50),0,2 (50)
,,1 year old,9,2 (22.2),1 (11.1),3 (33.3)
,,2–4 years old,49,4 (8.2),7 (14.3),11 (22.4)
,,Subtotal,66,10 (15.2),10 (15.2),20 (30.3)
2–4 years old,61,<6 months old,5,3 (60),1 (20),4 (80)
,,6–11 months old,8,2 (25),0,2 (25)
,,1 year old,17,4 (23.5),1 (5.9),5 (29.4)
,,2–4 years old,41,6 (14.6),6 (11.3),12 (29.3)
,,Subtotal,71,15 (21.1),8 (11.3),23 (32.4)
Total,181,,215,31 (14.4),24 (11.2),55 (25.6)
,"Abbreviations: ARI, acute respiratory infection; RSV, respiratory syncytial virus.",,,,,
