0,1,2,3,4,5,6,7
,"Table 2. Decomposition Results of Total Hospitalisation Days, 2001-2004 and 2004-2012 (% of Total)",,,,,,
Age,,,No. of Discharges,,Population,Population,
,Gender,LOS,,Discharge Rate,,,Total
group,,,Per Patient,,Structure,Growth,
2001-2004,,,,,,,
0-4,F,-14 680 (0.82),-6477 (0.36),47 654 (-2.65),-29 040 (1.61),,-2543 (0.14)
,M,-8331 (0.46),-10 036 (0.56),43 186 (-2.40),-38 579 (2.14),,-13 760 (0.76)
5-14,F,18 309 (-1.02),-3318 (0.18),-24 703 (1.37),-5885 (0.33),,-15 598 (0.87)
,M,1912 (-0.11),-214 (0.01),-27 916 (1.55),-8313 (0.46),,-34 530 (1.92)
15-44,F,79 232 (-4.40),-66 503 (3.70),-140 993 (7.84),-26 866 (1.49),,-155 129 (8.62)
,M,-311 598 (17.32),13 709 (-0.76),-213 937 (11.89),-72 305 (4.02),,-584 131 (32.47)
45-64,F,-53 809 (2.99),15 394 (-0.86),-167 745 (9.32),105 039 (-5.84),,-101 121 (5.62)
,M,-341 973 (19.01),5670 (-0.32),-165 430 (9.19),124 251 (-6.91),,-377 481 (20.98)
65-74,F,-76 888 (4.27),17 302 (-0.96),-125 462 (6.97),11 287 (-0.63),,-173 762 (9.66)
,M,-241 040 (13.40),-23 712 (1.32),-79 319 (4.41),26 320 (-1.46),,-317 751 (17.66)
75+,F,-105 515 (5.86),-44 653 (2.48),-149 514 (8.31),206 526 (-11.48),,-93 156 (5.18)
,M,-94 559 (5.26),-43 529 (2.42),-37 226 (2.07),157 363 (-8.75),,-17 951 (1.00)
Total,,-1 148 941 (63.86),-146 367 (8.14),-1 041 405 (57.88),449 798 (-25.00),88 761 (-4.88),-1 799 153 (100.00)
Annualised total,,-382 980,-48 789,-347 135,149 933,29 254,-599 718
2004-2012,,,,,,,
0-4,F,-23 544 (-4.26),14 526 (2.63),23 038 (4.17),15 126 (2.74),,29 146 (5.28)
,M,-34 981 (-6.33),14 571 (2.64),28 048 (5.08),18 900 (3.42),,26 538 (4.80)
5-14,F,-31 253 (-5.66),-237 (-0.04),25 320 (4.58),-26 679 (-4.83),,-32 850 (-5.95)
,M,-23 663 (-4.28),1995 (0.36),24 293 (4.40),-33 116 (-5.99),,-30 491 (-5.52)
15-44,F,-117 004 (-21.18),79 397 (14.37),118 271 (21.41),-54 126 (-9.80),,26 538 (4.80)
,M,-216 613 (-39.21),46 609 (8.44),64 086 (11.60),-115 206 (-20.85),,-221 124 (-40.02)
45-64,F,-174 067 (-31.51),107 989 (19.55),107 136 (19.39),224 065 (40.55),,265 122 (47.99)
,M,-407 586 (-73.77),133 254 (24.12),132 739 (24.03),198 805 (36.98),,57 212 (10.36)
65-74,F,-177 356 (-32.10),45 831 (8.30),24 379 (4.41),-23 163 (-4.19),,-130 309 (-23.59)
,M,-213 341 (-38.61),71 394 (12.92),5458 (0.99),-14 442 (-2.61),,-150 930 (-27.32)
75+,F,-436 440 (-78.99),55 337 (10.02),65 078 (11.78),418 976 (75.83),,102 951 (18.63)
,M,-336 065 (-60.83),49 837 (9.02),50 258 (9.10),420 340 (76.08),,184 369 (33.37)
Total,,-2 191 915 (-396.73),620 504 (112.31),668 104 (120.92),1 029 480 (186.33),426 324 (77.16),552 497 (100.00)
Annualised total,,-273 989,77 563,83 513,128 685,53 291,69 062
"Abbreviations: F, Female; M, Male; LOS, length of stay.",,,,,,,
