0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
,Table 1. Antemortem results of 21 FMDV persistently infected cattle.,,,,,,,,,,,,,,,,,,,,
Strain,,,,A24 RGD,,,,,,,A24 SGD,,,,,O1 Manisa a,,,,SAT2,
Steer #,392,393,395,242,400,020,244,233,755,560,207,199,004,030,626,625,624,612,613,614,618
Route of,IDL b,IDL,CT c,IDL,IDL,CT,CT,IDL,IDL,IDL,CT,CT,IDL,IDL,CT,IDL,IDL,IDL,IDL,IDL,IDL
inoculation,,,,,,,,,,,,,,,,,,,,,
Necropsy,41,41,41,35,35,36,36,28,28,29,44,44,42,42,37,37,40,44,44,45,52
at DPI d,,,,,,,,,,,,,,,,,,,,,
FMDV,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes
Vaccinated,,,,,,,,,,,,,,,,,,,,,
Dose of,4.0,4.0,NA e,4.0,4.0,NA,NA,3.1,1.1,1.7,NA,NA,4.0,4.0,NA,4.0,4.0,4.0,4.0,4.0,4.0
inoculum,,,,,,,,,,,,,,,,,,,,,
(log10 BTID50),,,,,,,,,,,,,,,,,,,,,
First clinical,2,6,4,2,ND i,3,3,2,2,2,(cid:3)4,ND,ND,(cid:3)4,2,1,1,ND,ND,ND,(cid:3)6
signs f,,,,,,,,,,,,,,,,,,,,,
(DPD g/DPC h),,,,,,,,,,,,,,,,,,,,,
Viremia,1–3,1–3,3–5,1–3,1–3,2–5,4–5,NE j,NE,NE,4,ND,ND,ND,3–5,1–3,1–3,ND,ND,ND,2
range,,,,,,,,,,,,,,,,,,,,,
(DPD/DPC),,,,,,,,,,,,,,,,,,,,,
Results of,"29,PP","29,PP","29,PP","28,PP","28,PP","28,PP","28,PP","27,PP","27,PP","27,PP","28,PP","28,PP","28,NN","28,PP","34,PP","34,PP","34,PP","28,PP","28,PP","28,PP","28,PP"
probang,,,,,,,,,,,,,,,,,,,,,
,"33,PP","33,PP","33,PP","29,PP","29,PP","29,NP","29,NP",,,"28,PP","35,PP","35,NP","31,PP","31,PP","35,PP","35,PP","35,PP","29,PN","29,PP","29,PP","29,NP"
testing k,,,,,,,,,,,,,,,,,,,,,
,"34,PP","34,PP","34,PP","30,NP","30,PP","30,NP","30,NP",,,"29,PP","42,NP","42,PP","35,NP","35,PP","36,NP","36,NN","36,PP","30,PP","30,PP","30,PN","30,NP"
,"35,PP","35,PP","35,PP","31,NP","31,PP","31,PP","31,NP",,,,,,"38,PP","38,PP",,,"37,PP","31,PP","31,PP","31,PP","31,NP"
,"41,PP","41,PP","41,PP","34,PP","35,PP","35,PP","34,PP",,,,,,,,,,"40,PP","32,PP","32,PP","32,PN","32,NP"
,,,,"35,PP",,"36,NP","35,PP",,,,,,,,,,,"39,PN","39,PP","39,PP","39,PP"
,,,,,,,"36,NP",,,,,,,,,,,"42,PP","42,PP","42,PP","42,PP"
,,,,,,,,,,,,,,,,,,"43,PP","43,PP","43,PN","43,PP"
,,,,,,,,,,,,,,,,,,,"44,PP","44,PP","44,PP"
,,,,,,,,,,,,,,,,,,,,"45,NN","45,PP"
,,,,,,,,,,,,,,,,,,,,,"46,PN"
