0,1,2,3,4,5
,vaccination status and influenza laboratory test result,,,,
,2012,2013,2014,2015,Overall
,N­(%),N­(%),N­(%),N­(%),N­(%)
Characteristics,N=824,N=740,N=827,N=973,N=3364
Dates of Data,3 Nov- 14 Nov 2012,22 Oct- 29 Oct 2013,11 Oct- 15 Oct 2014,29 Sept- 05 Oct 2015,
Collection,,,,,
Male,401 (48.7),360 (48.7),426 (51.5),429 (44.1),1616 (48.0)
Age groups,,,,,
<5 y,0 (0),1 (0.1),2 (0.2),6 (0.6),9 (0.3)
5- <15 y,0 (0),0 (0),0 (0),0 (0),0 (0)
15- <50 y,215 (26.1),255 (34.5),222 (26.8),217 (22.3),909 (27.0)
50- <65 y,446 (54.1),369 (49.9),475 (57.4),577 (59.3),1867 (55.5)
65+ y,163 (19.8),115 (15.5),128 (15.5),173 (17.8),579 (17.2)
Reported symptoms,319 (38.7),326 (44.1),195 (23.6),183 (18.8),1023 (30.4)
consistent with ILI,,,,,
Vaccinated,162 (19.7),69 (9.3),244 (29.5),189 (19.4),664 (19.7)
Laboratory- confirmed,145 (17.6),105 (14.2)a,133 (16.1),101 (10.4)b,484 (14.4)
influenza,,,,,
Influenza A (H1N1),42 (5.1),22 (3.0),3 (0.4),50 (5.1),117 (3.5)
Influenza A (H3N2),54 (6.6),38 (5.1),60 (7.3),35 (3.6),187 (5.6)
Influenza B,49 (6.0),44 (6.0),70 (8.5),17 (1.8),180 (5.4)
Tested for MERS- CoVc,,,,,
Sputum,25 (3.0),60 (8.1),100 (12.1),79 (8.1),264 (7.8)
NP/OP,187 (22.7),740 (100),823 (99.5),187 (19.2),1937 (57.6)
aOne influenza A- positive specimen was not subtyped.,,,,,
