0,1,2
,Antibodies produced in response to live and 41-aminomethyl-trioxsalen (AMT) + UV-A,
inactivated Lassa virus and Crimean-Congo hemorrhagic fever virus recognized untreated viruses,,
Agent,Rabbit Number,Titer
AMT + UV-A LASV,479876,1:320
AMT + UV-A LASV,479877,1:320
AMT + UV-A LASV,479878,1:320
LASV,479879,1:320
LASV,479880,1:320
LASV,479881,1:640
AMT + UV-A CCHFV,479882,1:160
AMT + UV-A CCHFV,479883,1:320
AMT + UV-A CCHFV,479884,1:640
CCHFV,479885,1:320
CCHFV,479886,1:320
CCHFV,479887,1:320
