0,1,2,3,4,5,6,7,8,9
Table 3,,,,,,,,,
The performance of the top 20 most productive countries (1992–2016).,,,,,,,,,
Country/territories,TA,R (%),Single country,,,Internationally-collaborated,,h-index [R],h-index/TA
,,,,,,,,,% [R]
,,,SA,%,CA,% [R],MC [A],,
USA,2680,1 (22.7),1648,61.49,1032,38.51 (10),UK (187),87 (1),3.25 (19)
Brazil,1543,2 (13.1),1319,85.48,224,14.52 (18),USA (63),40 (5),2.59 (20)
UK,934,3 (7.9),332,35.55,602,64.45 (4),USA (187),53 (2),5.67 (17)
France,698,4 (5.9),447,64.04,251,35.96 (13),USA (41),42 (4),6.02 (16)
Spain,698,4 (5.9),505,72.35,193,27.65 (16),USA (27),38 (6),5.44 (18)
Italy,557,6 (4.7),402,72.17,155,27.83 (15),USA (42),37 (7),6.64 (15)
India,436,7 (3.7),276,63.30,160,36.70 (11),USA (66),34 (8),7.80 (12)
Switzerland,396,8 (3.4),98,24.75,298,75.25 (1),USA (95),46 (3),11.62 (3)
Germany,390,9 (3.3),216,55.38,174,44.62 (7),USA (31),34 (9),8.72 (8)
China,384,10 (3.3),231,60.16,153,39.84 (9),USA (54),29 (12),7.55 (13)
Canada,374,11 (3.2),185,49.47,189,50.53 (6),USA (69),32 (10),8.56 (10)
Japan,312,12 (2.6),199,63.78,113,36.22 (12),USA (20),27 (14),8.65 (9)
South Africa,284,13 (2.4),159,55.99,125,44.01 (8),USA (43),24 (17),8.45 (11)
Netherlands,273,14 (2.3),86,31.50,187,68.50 (2),UK (32),27 (15),9.89 (5)
Australia,271,15 (2.3),87,32.10,184,67.90 (3),USA (51),30 (11),11.07 (4)
Mexico,250,16 (2.1),168,67.20,82,32.80 (14),USA (34),22 (18),8.80 (7)
Poland,234,17 (2.0),211,90.17,23,9.83 (20),France (6),17 (20),7.26 (14)
Argentina,224,18 (1.9),175,78.13,49,21.88 (17),USA (17),21 (19),9.38 (6)
Sweden,191,19 (1.6),68,35.60,123,64.40 (5),UK (24),28 (13),14.66 (1)
Turkey,171,20 (1.5),149,87.13,22,12.87 (19),USA (9),25 (16),14.62 (2)
