0,1,2,3,4,5
"Table 2.
(Continued)",,,,,
,Frequency of LPM,Frequency of poultry,Touching poultry,Support closure of,Change purchase
,visits Relative risk,purchase Relative risk,during purchase Odds,LPMs Odds ratio,behavior Odds ratio
,(95% CI),(95% CI),ratio (95% CI),(95% CI),(95% CI)
Compared with,,,,,
H5N1 inﬂuenza,,,,,
Low,Reference,Reference,Reference,Reference,Reference
High,"6.4 (-5.5, 18.2)","-2.0 (-12.0, 8.1)","1.2 (0.7, 1.9)","1.4 (0.9, 2.0)","1.0 (0.7, 1.5)"
Compared with,,,,,
SARS,,,,,
Low,Reference,Reference,Reference,Reference,Reference
High,"8.7 (-6.0, 23.3)","8.8 (-3.3, 20.8)","1.2 (0.6, 2.1)","1.3 (0.8, 1.9)","0.9 (0.6, 1.4)"
Perceived,,,,,
effectiveness of,,,,,
H7N9 control,,,,,
National government,"-0.1 (-2.9, 2.8)","-2.2 (-2.6, 0.1)","1.1 (1.0, 1.2)","1.1 (1.0, 1.2)","1.0 (0.9, 1.1)"
Local government,"0.1 (-2.6, 2.9)","0.5 (-1.9, 2.8)","1.1 (1.0, 1.2)","1.1 (1.0, 1.2)","1.0 (0.9, 1.1)"
Knowledge about,,,,,
H7N9 transmission,,,,,
Contract poultry in,"-1.4 (-14.3, 11.4)","-0.8 (-11.7, 10.0)","1.0 (0.6, 1.8)","1.1 (0.7, 1.7)","1.6 (1.1, 2.4)"
LPMs,,,,,
Contact H7N9,"-5.7 (-17.1, 5.7)","-7.9 (-17.5, 1.6)","0.6 (0.4, 1.0)","0.9 (0.6, 1.3)","1.3 (0.9, 1.9)"
patients,,,,,
Contact virus-,"0.6 (-12.5, 13.6)","-9.2 (-20.3, 1.9)","1.2 (0.7, 2.0)","1.4 (0.9, 2.2)","0.9 (0.6, 1.4)"
contaminated objects,,,,,
